id,name,currentVersion,dataFileHandleId,dataFileName,dataFileSizeBytes,dataFileMD5Hex,BiospecimenKey,DataUseCodes,DatasetViewKey,EntityId,FileAlias,FileAssay,FileDescription,FileDesign,FileFormat,FileLevel,FileSpecies,FileTissue,FileTumorType,FileUrl,FileViewId,StudyKey,FileDataUseCodes,FileLongitudinalEventType,FileLongitudinalGroup,FileLongitudinalSequenceIdentifier,FileLongitudinalSequentialTimeElapsed,FileLongitudinalTimeElapsedUnit,FileLongitudinalTotalTimeElapsed
syn60245369,collection_0000064558_2021-01-06_18_16_53.csv,1,142025018,collection_0000064558_2021-01-06_18_16_53.csv,1038,5af98461f800d0b3baecdf1490509b2a,CA263001-B293,NA,syn63100169,syn60245369,syn60245369,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245369,syn60245369,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245370,collection_0000064570_2021-01-06_20_13_11.csv,1,142025020,collection_0000064570_2021-01-06_20_13_11.csv,16769,aeb11b5bfbb0c54f5343df0f68943e18,CA263001-B341,NA,syn63100169,syn60245370,syn60245370,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245370,syn60245370,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245371,collection_0000064560_2021-01-06_18_35_58.csv,1,142025016,collection_0000064560_2021-01-06_18_35_58.csv,7619,ad5d04418020eb098329bc6a56b64960,CA263001-B301,NA,syn63100169,syn60245371,syn60245371,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245371,syn60245371,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245372,collection_0000064549_2021-01-06_17_04_10.csv,1,142025007,collection_0000064549_2021-01-06_17_04_10.csv,9977,7419e2cc421fb6528497d3979e065aee,CA263001-B253,NA,syn63100169,syn60245372,syn60245372,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245372,syn60245372,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245373,collection_0000064546_2021-01-07_14_26_52.csv,1,142025009,collection_0000064546_2021-01-07_14_26_52.csv,9283,f17378c559ac20adb52420890a7ad2f8,CA263001-B233,NA,syn63100169,syn60245373,syn60245373,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245373,syn60245373,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245374,collection_0000064551_2021-01-06_17_24_58.csv,1,142025023,collection_0000064551_2021-01-06_17_24_58.csv,28521,2f7d4fd5b9c38d928e4e715bd76c737a,CA263001-B261,NA,syn63100169,syn60245374,syn60245374,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245374,syn60245374,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245375,collection_0000064579_2021-01-06_21_36_41.csv,1,142025019,collection_0000064579_2021-01-06_21_36_41.csv,31972,fbd6abffaeeba28a35c3da09404f0c81,CA263001-B333,NA,syn63100169,syn60245375,syn60245375,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245375,syn60245375,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245376,collection_0000064556_2021-01-06_18_02_00.csv,1,142025026,collection_0000064556_2021-01-06_18_02_00.csv,19797,081a9fede907f78e8f7f984296a1b1ef,CA263001-B241,NA,syn63100169,syn60245376,syn60245376,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245376,syn60245376,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245377,collection_0000064554_2021-01-06_17_48_48.csv,1,142025027,collection_0000064554_2021-01-06_17_48_48.csv,17934,c0108068121ece1fbdf63a537a68f701,CA263001-B273,NA,syn63100169,syn60245377,syn60245377,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245377,syn60245377,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245378,collection_0000064616_2021-01-08_17_40_02.csv,1,142025029,collection_0000064616_2021-01-08_17_40_02.csv,27885,9c7b6eec7f6bb9996a5eba622c24af91,CA263001-B266,NA,syn63100169,syn60245378,syn60245378,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245378,syn60245378,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245379,collection_0000064562_2021-01-06_18_53_37.csv,1,142025028,collection_0000064562_2021-01-06_18_53_37.csv,2296,785057f02c7b9f34fd14d6a09502f1ce,CA263001-B309,NA,syn63100169,syn60245379,syn60245379,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245379,syn60245379,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245380,collection_0000064547_2021-01-06_16_42_07.csv,1,142025025,collection_0000064547_2021-01-06_16_42_07.csv,14938,6f417c616b4247c9131cc09928b7d270,CA263001-B245,NA,syn63100169,syn60245380,syn60245380,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245380,syn60245380,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245381,collection_0000064552_2021-01-06_17_33_55.csv,1,142025022,collection_0000064552_2021-01-06_17_33_55.csv,26890,271d1d427a0f4129e6430d7e4184bd31,CA263001-B265,NA,syn63100169,syn60245381,syn60245381,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245381,syn60245381,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245382,collection_0000064566_2021-01-06_19_31_12.csv,1,142025021,collection_0000064566_2021-01-06_19_31_12.csv,6949,19e95afbe35f38b2f90816a5ea2b2f56,CA263001-B281,NA,syn63100169,syn60245382,syn60245382,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245382,syn60245382,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245383,collection_0000064639_2021-01-11_12_13_02.csv,1,142025032,collection_0000064639_2021-01-11_12_13_02.csv,22989,af30ea75d292ecbae68d8b70463665ac,CA263001-B362,NA,syn63100169,syn60245383,syn60245383,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245383,syn60245383,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245384,collection_0000064577_2021-01-06_21_16_06.csv,1,142025033,collection_0000064577_2021-01-06_21_16_06.csv,52224,eb2a1e893417f9e2835dfc1ccd874db4,CA263001-B369,NA,syn63100169,syn60245384,syn60245384,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245384,syn60245384,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245385,collection_0000064621_2021-01-08_18_18_49.csv,1,142025030,collection_0000064621_2021-01-08_18_18_49.csv,32503,c4374307d6287565f70ce6c93f92f817,CA263001-B278,NA,syn63100169,syn60245385,syn60245385,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245385,syn60245385,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245386,collection_0000064573_2021-01-06_20_40_44.csv,1,142025035,collection_0000064573_2021-01-06_20_40_44.csv,72777,f0ae744150f8d95b2687c11316c76eb1,CA263001-B353,NA,syn63100169,syn60245386,syn60245386,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245386,syn60245386,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245387,collection_0000064614_2021-01-11_17_42_58.csv,1,142025031,collection_0000064614_2021-01-11_17_42_58.csv,332,0be440bac25d691797e88de5e1f5e60d,CA263001-B257,NA,syn63100169,syn60245387,syn60245387,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245387,syn60245387,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245388,collection_0000064568_2021-01-06_19_50_08.csv,1,142025040,collection_0000064568_2021-01-06_19_50_08.csv,5943,a17dd8ec9415a1d724df91c55a614361,CA263001-B289,NA,syn63100169,syn60245388,syn60245388,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245388,syn60245388,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245389,collection_0000064635_2021-01-08_20_36_53.csv,1,142025041,collection_0000064635_2021-01-08_20_36_53.csv,20891,0ef27058ad5c86af227830fffc41b4bd,CA263001-B346,NA,syn63100169,syn60245389,syn60245389,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245389,syn60245389,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245390,collection_0000064620_2021-01-08_18_12_17.csv,1,142025037,collection_0000064620_2021-01-08_18_12_17.csv,28517,9dc204923a32cd8fb39bb2c90390ba58,CA263001-B242,NA,syn63100169,syn60245390,syn60245390,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245390,syn60245390,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245391,collection_0000064574_2021-01-06_20_53_13.csv,1,142025038,collection_0000064574_2021-01-06_20_53_13.csv,50350,8208e4864f6957c38c11d258c7c7602d,CA263001-B357,NA,syn63100169,syn60245391,syn60245391,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245391,syn60245391,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245392,collection_0000064629_2021-01-11_12_28_25.csv,1,142025036,collection_0000064629_2021-01-11_12_28_25.csv,28618,2fda3d245e841252cc9591f6a843b65f,CA263001-B322,NA,syn63100169,syn60245392,syn60245392,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245392,syn60245392,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245393,collection_0000064628_2021-01-08_19_27_53.csv,1,142025039,collection_0000064628_2021-01-08_19_27_53.csv,1380,6645df9a65ae662813e2168020deeffc,CA263001-B318,NA,syn63100169,syn60245393,syn60245393,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245393,syn60245393,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245394,collection_0000064575_2021-01-06_21_01_07.csv,1,142025034,collection_0000064575_2021-01-06_21_01_07.csv,25066,b2439c6a0be94e24729c9a41662012e9,CA263001-B361,NA,syn63100169,syn60245394,syn60245394,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245394,syn60245394,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245395,collection_0000064630_2021-01-11_12_27_44.csv,1,142025044,collection_0000064630_2021-01-11_12_27_44.csv,14547,3fbbeaa091dbfcd567fbd99290fbbea3,CA263001-B282,NA,syn63100169,syn60245395,syn60245395,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245395,syn60245395,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245396,collection_0000064632_2021-01-11_12_20_00.csv,1,142025045,collection_0000064632_2021-01-11_12_20_00.csv,2947,fbdfe81191cb513a2483d40d029e9676,CA263001-B290,NA,syn63100169,syn60245396,syn60245396,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245396,syn60245396,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245397,collection_0000064631_2021-01-08_19_57_25.csv,1,142025042,collection_0000064631_2021-01-08_19_57_25.csv,9564,eec1d4398ad3f71b372e0e5f599ff7b7,CA263001-B286,NA,syn63100169,syn60245397,syn60245397,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245397,syn60245397,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245398,collection_0000064572_2021-01-06_20_27_36.csv,1,142025043,collection_0000064572_2021-01-06_20_27_36.csv,12944,aaad4f720806697b9dcb4234c8e462ef,CA263001-B349,NA,syn63100169,syn60245398,syn60245398,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245398,syn60245398,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245399,collection_0000064634_2021-01-08_20_29_57.csv,1,142025046,collection_0000064634_2021-01-08_20_29_57.csv,30563,ca5cbc10e619d8810a006f42e4e931e6,CA263001-B342,NA,syn63100169,syn60245399,syn60245399,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245399,syn60245399,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245400,V1A_brains_pt2.csv,1,142025047,V1A_brains_pt2.csv,944572,27730240d26f6d960bd7f9322ceaaa8a,Not Applicable,NA,syn63100169,syn60245400,syn60245400,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for mouse brain images from cohort 20210111_AK, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245400,syn60245400,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245401,collection_0000064571_2021-01-06_20_19_39.csv,1,142025048,collection_0000064571_2021-01-06_20_19_39.csv,28739,31b7dbeea0d67b775e90ef5f195fbd8f,CA263001-B345,NA,syn63100169,syn60245401,syn60245401,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245401,syn60245401,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245402,collection_0000064636_2021-01-08_20_45_06.csv,1,142025049,collection_0000064636_2021-01-08_20_45_06.csv,19283,e2fb637e15e3b4f5815d8e5645f75312,CA263001-B350,NA,syn63100169,syn60245402,syn60245402,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245402,syn60245402,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245403,collection_0000064623_2021-01-08_18_37_59.csv,1,142025051,collection_0000064623_2021-01-08_18_37_59.csv,10176,2e750867cb2bf4aea92d3ad01c88535e,CA263001-B298,NA,syn63100169,syn60245403,syn60245403,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245403,syn60245403,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245404,collection_0000064624_2021-01-08_18_48_43.csv,1,142025050,collection_0000064624_2021-01-08_18_48_43.csv,24013,b2dadcc5546268dd124516585e585e03,CA263001-B302,NA,syn63100169,syn60245404,syn60245404,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245404,syn60245404,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245405,collection_0000064619_2021-01-08_18_04_31.csv,1,142025052,collection_0000064619_2021-01-08_18_04_31.csv,30300,73ad86d32489abb4632cbaba9012679d,CA263001-B238,NA,syn63100169,syn60245405,syn60245405,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245405,syn60245405,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245406,collection_0000064637_2021-01-08_20_57_34.csv,1,142025054,collection_0000064637_2021-01-08_20_57_34.csv,49902,1b0fe6d1cadf581cc18f6ab878ba5500,CA263001-B354,NA,syn63100169,syn60245406,syn60245406,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245406,syn60245406,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245407,V1A_brains_pt1.csv,1,142025059,V1A_brains_pt1.csv,683876,c98aced40d5a107f090168b77c269851,Not Applicable,NA,syn63100169,syn60245407,syn60245407,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for mouse brain images from cohort 20210111_AK, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245407,syn60245407,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245408,collection_0000064580_2021-01-06_21_46_20.csv,1,142025061,collection_0000064580_2021-01-06_21_46_20.csv,47915,819d73904f17f17046ac2f04b42c188d,CA263001-B337,NA,syn63100169,syn60245408,syn60245408,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245408,syn60245408,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245409,collection_0000064644_2021-01-08_22_07_48.csv,1,142025056,collection_0000064644_2021-01-08_22_07_48.csv,54801,30ffb84a24656ecbe27ef3d017527f78,CA263001-B338,NA,syn63100169,syn60245409,syn60245409,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245409,syn60245409,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245410,collection_0000064641_2021-01-08_21_52_24.csv,1,142025058,collection_0000064641_2021-01-08_21_52_24.csv,73828,d65d7916626ab18212a80d9cdd7c106e,CA263001-B370,NA,syn63100169,syn60245410,syn60245410,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245410,syn60245410,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245411,collection_0000064627_2021-01-08_19_18_00.csv,1,142025064,collection_0000064627_2021-01-08_19_18_00.csv,5929,a879b75998171fce687e898450e5fcd5,CA263001-B314,NA,syn63100169,syn60245411,syn60245411,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245411,syn60245411,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245412,collection_0000064610_2021-01-08_16_34_27.csv,1,142025060,collection_0000064610_2021-01-08_16_34_27.csv,2108,35281ceca2eb01675e655934841e4970,CA263001-B234,NA,syn63100169,syn60245412,syn60245412,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245412,syn60245412,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245413,collection_0000064642_2021-01-08_21_55_42.csv,1,142025062,collection_0000064642_2021-01-08_21_55_42.csv,27974,2c25157a0431377cbb0d040d4a57cbe4,CA263001-B330,NA,syn63100169,syn60245413,syn60245413,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245413,syn60245413,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
