name,assay,cellType,dataSubtype,dataType,diagnosis,individualID,individualIdSource,nf1Genotype,nf2Genotype,isCellLine,isMultiIndividual,isMultiSpecimen,isPrimaryCell,organ,sex,species,specimenID,specimenIdSource,tissue,experimentalCondition,experimentalTimePoint,timePointUnit,genePerturbationTechnology,genePerturbationType,genePerturbed,compoundDose,compoundDoseUnit,compoundDoseRange,compoundName,drugScreenType,secondCompoundName,fileFormat,resourceType,analysisType,isStranded,libraryPrep,readLength,readPairOrientation,readStrandOrigin,multipleTestingAdjustmentMethod,differentialExpressionMethod,alignmentMethod,runType,platform,transcriptQuantificationMethod,dataFileHandleId,chemicalStructure,structureType,studyId,studyName,createdOn,readPair,id,modelSystemName,createdBy,etag,type,currentVersion,parentId,benefactorId,projectId,modifiedOn,modifiedBy,tumorType,dataFileBucket,description,dataFileSizeBytes
HS01_14.1.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_14,NA,NA,Dasatinib,24,hours,RNAi,knockdown,NF2,NA,NA,NA,Dasatinib,NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371011,NA,NA,syn2343195,Synodos NF2,1539301710249,1,syn17009221,HS01,3322106,72ddb73d-5a16-4310-b91b-04ee82c6b629,file,1,syn18456448,syn2343195,syn2343195,1679362943057,3421893,,proddata.sagebase.org,NA,2566556109
HS01_14.2.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_14,NA,NA,Dasatinib,24,hours,RNAi,knockdown,NF2,NA,NA,NA,Dasatinib,NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371019,NA,NA,syn2343195,Synodos NF2,1539302203786,2,syn17009223,HS01,3322106,8ab6baf0-07c9-4018-afe8-4b322a077b20,file,1,syn18456448,syn2343195,syn2343195,1679362943121,3421893,,proddata.sagebase.org,NA,2606042909
HS01_15.1.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_15,NA,NA,Simvastatin,24,hours,RNAi,knockdown,NF2,NA,NA,NA,Simvastatin,NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371026,NA,NA,syn2343195,Synodos NF2,1539302664988,1,syn17009224,HS01,3322106,d5501a79-a0de-4dc8-affc-54dcd9d8490b,file,1,syn18456448,syn2343195,syn2343195,1679362943177,3421893,,proddata.sagebase.org,NA,2139587293
HS01_15.2.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_15,NA,NA,Simvastatin,24,hours,RNAi,knockdown,NF2,NA,NA,NA,Simvastatin,NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371033,NA,NA,syn2343195,Synodos NF2,1539303105676,2,syn17009225,HS01,3322106,8a093105-147e-43f2-93b7-3b30b8f53fa1,file,1,syn18456448,syn2343195,syn2343195,1679362943231,3421893,,proddata.sagebase.org,NA,2104257423
HS01_16.1.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_16,NA,NA,Brigatinib,24,hours,RNAi,knockdown,NF2,NA,NA,NA,Brigatinib,NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371034,NA,NA,syn2343195,Synodos NF2,1539303599782,1,syn17009226,HS01,3322106,c4076c1b-d9c4-4914-b912-3a8553c53d8c,file,1,syn18456448,syn2343195,syn2343195,1679362943286,3421893,,proddata.sagebase.org,NA,2275253200
HS01_16.2.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_16,NA,NA,Brigatinib,24,hours,RNAi,knockdown,NF2,NA,NA,NA,Brigatinib,NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371041,NA,NA,syn2343195,Synodos NF2,1539304071739,2,syn17009228,HS01,3322106,1a08c972-847b-4de7-b569-d43d752934d7,file,1,syn18456448,syn2343195,syn2343195,1679362943340,3421893,,proddata.sagebase.org,NA,2271011386
HS01_17.1.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_17,NA,NA,"Dasatinib,Simvastatin",24,hours,RNAi,knockdown,NF2,NA,NA,NA,"Dasatinib,Simvastatin",NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371049,NA,NA,syn2343195,Synodos NF2,1539304432591,1,syn17009229,HS01,3322106,ff81b662-42ed-4302-9661-6f90aaf2c8b3,file,1,syn18456448,syn2343195,syn2343195,1679362943397,3421893,,proddata.sagebase.org,NA,1553273067
HS01_17.2.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_17,NA,NA,"Dasatinib,Simvastatin",24,hours,RNAi,knockdown,NF2,NA,NA,NA,"Dasatinib,Simvastatin",NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371051,NA,NA,syn2343195,Synodos NF2,1539304748184,2,syn17009230,HS01,3322106,5084af9c-231f-4685-9030-73b5896dcac1,file,1,syn18456448,syn2343195,syn2343195,1679362943454,3421893,,proddata.sagebase.org,NA,1515973979
HS01_18.1.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_18,NA,NA,"Dasatinib,Brigatinib",24,hours,RNAi,knockdown,NF2,NA,NA,NA,"Dasatinib,Brigatinib",NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371058,NA,NA,syn2343195,Synodos NF2,1539305145403,1,syn17009231,HS01,3322106,810313f0-8be3-4993-86bc-0b0deb858965,file,1,syn18456448,syn2343195,syn2343195,1679362943506,3421893,,proddata.sagebase.org,NA,1869014875
HS01_18.2.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_18,NA,NA,"Dasatinib,Brigatinib",24,hours,RNAi,knockdown,NF2,NA,NA,NA,"Dasatinib,Brigatinib",NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371069,NA,NA,syn2343195,Synodos NF2,1539305553514,2,syn17009232,HS01,3322106,f7309898-29d6-4c49-95b8-a3140576daf2,file,1,syn18456448,syn2343195,syn2343195,1679362943559,3421893,,proddata.sagebase.org,NA,1859253671
HS01_2.1.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_2,NA,NA,Dasatinib,24,hours,RNAi,knockdown,NF2,NA,NA,NA,Dasatinib,NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371074,NA,NA,syn2343195,Synodos NF2,1539305944268,1,syn17009233,HS01,3322106,c94d34fd-3ebd-46a1-a38e-f240b4b1fc66,file,1,syn18456448,syn2343195,syn2343195,1679362943626,3421893,,proddata.sagebase.org,NA,1805187841
HS01_2.2.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_2,NA,NA,Dasatinib,24,hours,RNAi,knockdown,NF2,NA,NA,NA,Dasatinib,NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371081,NA,NA,syn2343195,Synodos NF2,1539306369614,2,syn17009234,HS01,3322106,49de1e93-4751-444d-977b-cb36e2876301,file,1,syn18456448,syn2343195,syn2343195,1679362943694,3421893,,proddata.sagebase.org,NA,1828588942
HS01_3.1.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_3,NA,NA,Simvastatin,24,hours,RNAi,knockdown,NF2,NA,NA,NA,Simvastatin,NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371089,NA,NA,syn2343195,Synodos NF2,1539306905367,1,syn17009235,HS01,3322106,6863aee0-8088-4d5a-af81-07163091a0cc,file,1,syn18456448,syn2343195,syn2343195,1679362943759,3421893,,proddata.sagebase.org,NA,2238509067
HS01_3.2.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_3,NA,NA,Simvastatin,24,hours,RNAi,knockdown,NF2,NA,NA,NA,Simvastatin,NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371096,NA,NA,syn2343195,Synodos NF2,1539307408855,2,syn17009236,HS01,3322106,ce152ecd-e801-49e7-a2b9-e09388f65434,file,1,syn18456448,syn2343195,syn2343195,1679362943814,3421893,,proddata.sagebase.org,NA,2256303445
HS01_4.1.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_4,NA,NA,Brigatinib,24,hours,RNAi,knockdown,NF2,NA,NA,NA,Brigatinib,NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371103,NA,NA,syn2343195,Synodos NF2,1539307856483,1,syn17009237,HS01,3322106,d09e32ca-b070-4c35-8b5d-f149413b02d4,file,1,syn18456448,syn2343195,syn2343195,1679362943868,3421893,,proddata.sagebase.org,NA,2079159229
HS01_4.2.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_4,NA,NA,Brigatinib,24,hours,RNAi,knockdown,NF2,NA,NA,NA,Brigatinib,NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371106,NA,NA,syn2343195,Synodos NF2,1539308299148,2,syn17009238,HS01,3322106,41092a91-8e7c-4766-84ef-43a72c380bae,file,1,syn18456448,syn2343195,syn2343195,1679362943927,3421893,,proddata.sagebase.org,NA,2039003901
HS01_5.1.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_5,NA,NA,"Dasatinib,Simvastatin",24,hours,RNAi,knockdown,NF2,NA,NA,NA,"Dasatinib,Simvastatin",NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371113,NA,NA,syn2343195,Synodos NF2,1539308723055,1,syn17009239,HS01,3322106,f03224be-2415-4a94-85bf-3912dd48b1df,file,1,syn18456448,syn2343195,syn2343195,1679362943977,3421893,,proddata.sagebase.org,NA,1993598558
HS01_5.2.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_5,NA,NA,"Dasatinib,Simvastatin",24,hours,RNAi,knockdown,NF2,NA,NA,NA,"Dasatinib,Simvastatin",NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371121,NA,NA,syn2343195,Synodos NF2,1539309155203,2,syn17009240,HS01,3322106,6f064d63-49fd-4db4-a453-e9f982527b4f,file,1,syn18456448,syn2343195,syn2343195,1679362944030,3421893,,proddata.sagebase.org,NA,2014581157
HS01_6.1.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_6,NA,NA,"Dasatinib,Brigatinib",24,hours,RNAi,knockdown,NF2,NA,NA,NA,"Dasatinib,Brigatinib",NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371135,NA,NA,syn2343195,Synodos NF2,1539309739314,1,syn17009241,HS01,3322106,71d166d4-4fdf-46e9-8c0e-bb667d50e64f,file,1,syn18456448,syn2343195,syn2343195,1679362944086,3421893,,proddata.sagebase.org,NA,2269035631
HS01_6.2.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_6,NA,NA,"Dasatinib,Brigatinib",24,hours,RNAi,knockdown,NF2,NA,NA,NA,"Dasatinib,Brigatinib",NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371142,NA,NA,syn2343195,Synodos NF2,1539310273156,2,syn17009243,HS01,3322106,a34c7f64-623b-4936-9a07-fa3a3558c263,file,1,syn18456448,syn2343195,syn2343195,1679362944149,3421893,,proddata.sagebase.org,NA,2315499654
HS01_7.1.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_7,NA,NA,DMSO,24,hours,RNAi,knockdown,NF2,NA,NA,NA,DMSO,NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371149,NA,NA,syn2343195,Synodos NF2,1539310985672,1,syn17009244,HS01,3322106,701e7070-d243-477b-bde2-4f38df7fb7a0,file,1,syn18456448,syn2343195,syn2343195,1679362944207,3421893,,proddata.sagebase.org,NA,3217379672
HS01_7.2.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_7,NA,NA,DMSO,24,hours,RNAi,knockdown,NF2,NA,NA,NA,DMSO,NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371157,NA,NA,syn2343195,Synodos NF2,1539311766917,2,syn17009245,HS01,3322106,0ed4e3fc-e0b4-4bb0-9bf8-384caeac9aeb,file,1,syn18456448,syn2343195,syn2343195,1679362944261,3421893,,proddata.sagebase.org,NA,3163175474
HS01_8.1.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_8,NA,NA,Dasatinib,24,hours,RNAi,knockdown,NF2,NA,NA,NA,Dasatinib,NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371166,NA,NA,syn2343195,Synodos NF2,1539312387297,1,syn17009247,HS01,3322106,c73a7492-511e-4efb-a3be-86838a196ce2,file,1,syn18456448,syn2343195,syn2343195,1679362944317,3421893,,proddata.sagebase.org,NA,3020057366
HS01_8.2.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_8,NA,NA,Dasatinib,24,hours,RNAi,knockdown,NF2,NA,NA,NA,Dasatinib,NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371173,NA,NA,syn2343195,Synodos NF2,1539313027993,2,syn17009248,HS01,3322106,31ea50ca-375f-4f34-a4a3-e40bd562ea4a,file,1,syn18456448,syn2343195,syn2343195,1679362944371,3421893,,proddata.sagebase.org,NA,3009591375
HS01_9.1.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_9,NA,NA,Simvastatin,24,hours,RNAi,knockdown,NF2,NA,NA,NA,Simvastatin,NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371182,NA,NA,syn2343195,Synodos NF2,1539313423620,1,syn17009249,HS01,3322106,7d0a1bf8-d203-46f0-bf04-57d1f9d37218,file,1,syn18456448,syn2343195,syn2343195,1679362944423,3421893,,proddata.sagebase.org,NA,1696647428
HS01_9.2.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_9,NA,NA,Simvastatin,24,hours,RNAi,control,NA,NA,NA,NA,Simvastatin,NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371183,NA,NA,syn2343195,Synodos NF2,1539313777647,2,syn17009251,HS01,3322106,31b066b6-2b5c-4f54-aa7f-65a4b52f2b25,file,1,syn18456448,syn2343195,syn2343195,1679362944474,3421893,,proddata.sagebase.org,NA,1655163601
HS11_10.1.fastq.gz,RNA-seq,schwann,raw,geneExpression,NA,HS11,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS11_10,NA,NA,Brigatinib,24,hours,RNAi,control,NA,NA,NA,NA,Brigatinib,NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371190,NA,NA,syn2343195,Synodos NF2,1539314131931,1,syn17009252,HS11,3322106,e656285d-4790-41ba-897b-2ac9ae4736b7,file,1,syn18456448,syn2343195,syn2343195,1679362944535,3421893,,proddata.sagebase.org,NA,1684232850
HS11_10.2.fastq.gz,RNA-seq,schwann,raw,geneExpression,NA,HS11,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS11_10,NA,NA,Brigatinib,24,hours,RNAi,control,NA,NA,NA,NA,Brigatinib,NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33371200,NA,NA,syn2343195,Synodos NF2,1539314515535,2,syn17009257,HS11,3322106,a3e6cc53-745a-4ffa-aa23-03c0357c920b,file,1,syn18456448,syn2343195,syn2343195,1679362944587,3421893,,proddata.sagebase.org,NA,1753933118
