id,name,individualID,specimenID,Resource_id,assay,cellType,dataSubtype,dataType,diagnosis,disease,drugScreenType,fileFormat,isCellLine,isMultiIndividual,isMultiSpecimen,nf1Genotype,nf2Genotype,organ,resourceType,species,tissue,tumorType,fundingAgency,initiative,studyId,studyName
syn5613609,iPNF05.5_mixed_10x10_CTG_48h_metadata.csv,ipNF05.5 (mixed clone),ipNF05.5 (mixed clone),844b598c-0171-4972-91c3-27aa21b45d52,cell viability assay,cultured cell,metadata,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,-/-,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613610,iPNF05.5_mixed_10x10_CTG_48h_responses.csv,ipNF05.5 (mixed clone),ipNF05.5 (mixed clone),844b598c-0171-4972-91c3-27aa21b45d52,cell viability assay,cultured cell,processed,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,-/-,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613623,iPNF95.6_10x10_CCG_16h_calc.csv,ipNF95.6,ipNF95.6,b44361f2-9021-4920-901a-b1a1f9143f97,cell viability assay,cultured cell,processed,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,-/-,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613624,iPNF95.6_10x10_CCG_16h_metadata.csv,ipNF95.6,ipNF95.6,b44361f2-9021-4920-901a-b1a1f9143f97,cell viability assay,cultured cell,metadata,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,-/-,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613625,iPNF95.6_10x10_CCG_16h_responses.csv,ipNF95.6,ipNF95.6,b44361f2-9021-4920-901a-b1a1f9143f97,cell viability assay,cultured cell,processed,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,-/-,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613626,iPNF95.6_10x10_CTG_48h_calc.csv,ipNF95.6,ipNF95.6,b44361f2-9021-4920-901a-b1a1f9143f97,cell viability assay,cultured cell,processed,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,-/-,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613627,iPNF95.6_10x10_CTG_48h_metadata.csv,ipNF95.6,ipNF95.6,b44361f2-9021-4920-901a-b1a1f9143f97,cell viability assay,cultured cell,metadata,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,-/-,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613628,iPNF95.6_10x10_CTG_48h_responses.csv,ipNF95.6,ipNF95.6,b44361f2-9021-4920-901a-b1a1f9143f97,cell viability assay,cultured cell,processed,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,-/-,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613650,HFF_10x10_CCG_16h_calc.csv,HFF,HFF,NA,cell viability assay,fibroblast,processed,drugCombinationScreen,NA,Control,combinationLibraryScreen,csv,Yes,No,Yes,+/+,+/+,foreskin,experimentalData,Homo sapiens,skin,NA,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613651,HFF_10x10_CCG_16h_metadata.csv,HFF,HFF,NA,cell viability assay,fibroblast,metadata,drugCombinationScreen,NA,Control,combinationLibraryScreen,csv,Yes,No,Yes,+/+,+/+,foreskin,experimentalData,Homo sapiens,skin,NA,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613652,HFF_10x10_CCG_16h_responses.csv,HFF,HFF,NA,cell viability assay,fibroblast,processed,drugCombinationScreen,NA,Control,combinationLibraryScreen,csv,Yes,No,Yes,+/+,+/+,foreskin,experimentalData,Homo sapiens,skin,NA,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613653,HFF_10x10_CTG_48h_calc.csv,HFF,HFF,NA,cell viability assay,fibroblast,processed,drugCombinationScreen,NA,Control,combinationLibraryScreen,csv,Yes,No,Yes,+/+,+/+,foreskin,experimentalData,Homo sapiens,skin,NA,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613654,HFF_10x10_CTG_48h_metadata.csv,HFF,HFF,NA,cell viability assay,fibroblast,metadata,drugCombinationScreen,NA,Control,combinationLibraryScreen,csv,Yes,No,Yes,+/+,+/+,foreskin,experimentalData,Homo sapiens,skin,NA,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613655,HFF_10x10_CTG_48h_responses.csv,HFF,HFF,NA,cell viability assay,fibroblast,processed,drugCombinationScreen,NA,Control,combinationLibraryScreen,csv,Yes,No,Yes,+/+,+/+,foreskin,experimentalData,Homo sapiens,skin,NA,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
