id,name,Resource_id,accessTeam,accessType,assay,cellType,dataSubtype,dataType,diagnosis,entityId,fileFormat,fundingAgency,individualID,initiative,isCellLine,isMultiIndividual,isMultiSpecimen,isStranded,libraryPrep,modelSystemName,nf1Genotype,nf2Genotype,nucleicAcidSource,organ,platform,readLength,readPair,readPairOrientation,readStrandOrigin,resourceType,runType,sex,species,specimenID,specimenPreparationMethod,studyId,studyName,tissue,tumorType
syn18468137,C8581ANXX_3_0_1.fastq.gz,NA,273948,PUBLIC,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 1,syn18468137,fastq,NTAP,pNF95.6,Cell Culture Initiative,Yes,No,No,Yes,rRNAdepletion,NA,-/-,+/+,bulk cell,nerves,Illumina HiSeq 2500,100,1,inward,reverse,experimentalData,pairedEnd,Male,Homo sapiens,pNF95.6,Fresh collected,syn4939874,Development of Plexiform Neurofibroma Cellular Assay for High-Throughput Screening,nerve tissue,Plexiform Neurofibroma
syn18468138,C8581ANXX_3_0_2.fastq.gz,NA,273948,PUBLIC,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 1,syn18468138,fastq,NTAP,pNF95.6,Cell Culture Initiative,Yes,No,No,Yes,rRNAdepletion,NA,-/-,+/+,bulk cell,nerves,Illumina HiSeq 2500,100,2,inward,reverse,experimentalData,pairedEnd,Male,Homo sapiens,pNF95.6,Fresh collected,syn4939874,Development of Plexiform Neurofibroma Cellular Assay for High-Throughput Screening,nerve tissue,Plexiform Neurofibroma
syn18468139,C8581ANXX_4_0_1.fastq.gz,NA,273948,PUBLIC,RNA-seq,schwann,raw,geneExpression,Not Applicable,syn18468139,fastq,NTAP,pn02.3,Cell Culture Initiative,Yes,No,No,Yes,rRNAdepletion,NA,+/+,+/+,bulk cell,nerves,Illumina HiSeq 2500,100,1,inward,reverse,experimentalData,pairedEnd,Female,Homo sapiens,pn02.3,Fresh collected,syn4939874,Development of Plexiform Neurofibroma Cellular Assay for High-Throughput Screening,nerve tissue,NA
syn18468143,C8581ANXX_4_0_2.fastq.gz,NA,273948,PUBLIC,RNA-seq,schwann,raw,geneExpression,Not Applicable,syn18468143,fastq,NTAP,pn02.3,Cell Culture Initiative,Yes,No,No,Yes,rRNAdepletion,NA,+/+,+/+,bulk cell,nerves,Illumina HiSeq 2500,100,2,inward,reverse,experimentalData,pairedEnd,Female,Homo sapiens,pn02.3,Fresh collected,syn4939874,Development of Plexiform Neurofibroma Cellular Assay for High-Throughput Screening,nerve tissue,NA
syn18468144,C8581ANXX_5_0_1.fastq.gz,NA,273948,PUBLIC,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 1,syn18468144,fastq,NTAP,pnNF95.11c,Cell Culture Initiative,Yes,No,No,Yes,rRNAdepletion,NA,+/-,+/+,bulk cell,nerves,Illumina HiSeq 2500,100,1,inward,reverse,experimentalData,pairedEnd,Male,Homo sapiens,pnNF95.11c,Fresh collected,syn4939874,Development of Plexiform Neurofibroma Cellular Assay for High-Throughput Screening,nerve tissue,Plexiform Neurofibroma
syn18468145,C8581ANXX_5_0_2.fastq.gz,NA,273948,PUBLIC,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 1,syn18468145,fastq,NTAP,pnNF95.11c,Cell Culture Initiative,Yes,No,No,Yes,rRNAdepletion,NA,+/-,+/+,bulk cell,nerves,Illumina HiSeq 2500,100,2,inward,reverse,experimentalData,pairedEnd,Male,Homo sapiens,pnNF95.11c,Fresh collected,syn4939874,Development of Plexiform Neurofibroma Cellular Assay for High-Throughput Screening,nerve tissue,Plexiform Neurofibroma
syn18468146,C8581ANXX_6_0_1.fastq.gz,b44361f2-9021-4920-901a-b1a1f9143f97,273948,PUBLIC,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 1,syn18468146,fastq,NTAP,hTERT NF1 ipNF95.6,Cell Culture Initiative,Yes,No,No,Yes,rRNAdepletion,hTERT NF1 ipNF95.6,-/-,+/+,bulk cell,nerves,Illumina HiSeq 2500,100,1,inward,reverse,experimentalData,pairedEnd,Male,Homo sapiens,hTERT NF1 ipNF95.6,Fresh collected,syn4939874,Development of Plexiform Neurofibroma Cellular Assay for High-Throughput Screening,nerve tissue,Plexiform Neurofibroma
syn18468148,C8581ANXX_6_0_2.fastq.gz,b44361f2-9021-4920-901a-b1a1f9143f97,273948,PUBLIC,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 1,syn18468148,fastq,NTAP,hTERT NF1 ipNF95.6,Cell Culture Initiative,Yes,No,No,Yes,rRNAdepletion,hTERT NF1 ipNF95.6,-/-,+/+,bulk cell,nerves,Illumina HiSeq 2500,100,2,inward,reverse,experimentalData,pairedEnd,Male,Homo sapiens,hTERT NF1 ipNF95.6,Fresh collected,syn4939874,Development of Plexiform Neurofibroma Cellular Assay for High-Throughput Screening,nerve tissue,Plexiform Neurofibroma
syn18468159,C8581ANXX_7_0_1.fastq.gz,be2333d6-6716-4d13-947d-41f4198497a4,273948,PUBLIC,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 1,syn18468159,fastq,NTAP,hTERT NF1 ipNF95.11b C,Cell Culture Initiative,Yes,No,No,Yes,rRNAdepletion,hTERT NF1 ipNF95.11b C,-/-,+/+,bulk cell,nerves,Illumina HiSeq 2500,100,1,inward,reverse,experimentalData,pairedEnd,Male,Homo sapiens,hTERT NF1 ipNF95.11b C,Fresh collected,syn4939874,Development of Plexiform Neurofibroma Cellular Assay for High-Throughput Screening,nerve tissue,Plexiform Neurofibroma
syn18468160,C8581ANXX_7_0_2.fastq.gz,be2333d6-6716-4d13-947d-41f4198497a4,273948,PUBLIC,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 1,syn18468160,fastq,NTAP,hTERT NF1 ipNF95.11b C,Cell Culture Initiative,Yes,No,No,Yes,rRNAdepletion,hTERT NF1 ipNF95.11b C,-/-,+/+,bulk cell,nerves,Illumina HiSeq 2500,100,2,inward,reverse,experimentalData,pairedEnd,Male,Homo sapiens,hTERT NF1 ipNF95.11b C,Fresh collected,syn4939874,Development of Plexiform Neurofibroma Cellular Assay for High-Throughput Screening,nerve tissue,Plexiform Neurofibroma
syn18468161,C8581ANXX_8_0_1.fastq.gz,5502caf5-4cf1-418f-bf50-164cfa316b0f,273948,PUBLIC,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 1,syn18468161,fastq,NTAP,hTERT NF1 ipNF05.5,Cell Culture Initiative,Yes,No,No,Yes,rRNAdepletion,hTERT NF1 ipNF05.5,-/-,+/+,bulk cell,nerves,Illumina HiSeq 2500,100,1,inward,reverse,experimentalData,pairedEnd,Male,Homo sapiens,hTERT NF1 ipNF05.5,Fresh collected,syn4939874,Development of Plexiform Neurofibroma Cellular Assay for High-Throughput Screening,nerve tissue,Plexiform Neurofibroma
syn18468162,C8581ANXX_8_0_2.fastq.gz,5502caf5-4cf1-418f-bf50-164cfa316b0f,273948,PUBLIC,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 1,syn18468162,fastq,NTAP,hTERT NF1 ipNF05.5,Cell Culture Initiative,Yes,No,No,Yes,rRNAdepletion,hTERT NF1 ipNF05.5,-/-,+/+,bulk cell,nerves,Illumina HiSeq 2500,100,2,inward,reverse,experimentalData,pairedEnd,Male,Homo sapiens,hTERT NF1 ipNF05.5,Fresh collected,syn4939874,Development of Plexiform Neurofibroma Cellular Assay for High-Throughput Screening,nerve tissue,Plexiform Neurofibroma
