dataSubtype,dataType,fileFormat,individualID,specimenID,nf2Genotype,cellType,runType,diagnosis,platform,experimentalCondition,genePerturbationType,modelSystemName,assay,species,isCellLine,readPair,isPrimaryCell,libraryPrep,isMultiIndividual,isMultiSpecimen,isStranded,timePointUnit,genePerturbationTechnology,genePerturbed,compoundName,experimentalTimePoint
raw,geneExpression,fastq,HS11,HS11_15,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,Simvastatin,control,HS11,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,,Simvastatin,24
raw,geneExpression,fastq,HS11,HS11_16,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,Brigatinib,control,HS11,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,,Brigatinib,24
raw,geneExpression,fastq,HS11,HS11_16,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,Brigatinib,control,HS11,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,,Brigatinib,24
raw,geneExpression,fastq,HS11,HS11_17,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,"Dasatinib,Simvastatin",control,HS11,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,,"Dasatinib,Simvastatin",24
raw,geneExpression,fastq,HS11,HS11_17,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,"Dasatinib,Simvastatin",control,HS11,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,,"Dasatinib,Simvastatin",24
raw,geneExpression,fastq,HS11,HS11_18,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,"Dasatinib,Brigatinib",control,HS11,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,,"Dasatinib,Brigatinib",24
raw,geneExpression,fastq,HS11,HS11_18,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,"Dasatinib,Brigatinib",control,HS11,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,,"Dasatinib,Brigatinib",24
raw,geneExpression,fastq,HS11,HS11_2,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,Dasatinib,control,HS11,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,,Dasatinib,24
raw,geneExpression,fastq,HS11,HS11_2,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,Dasatinib,control,HS11,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,,Dasatinib,24
raw,geneExpression,fastq,HS11,HS11_3,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,Simvastatin,control,HS11,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,,Simvastatin,24
raw,geneExpression,fastq,HS11,HS11_3,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,Simvastatin,control,HS11,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,,Simvastatin,24
raw,geneExpression,fastq,HS11,HS11_4,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,Brigatinib,control,HS11,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,,Brigatinib,24
raw,geneExpression,fastq,HS11,HS11_4,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,Brigatinib,control,HS11,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,,Brigatinib,24
raw,geneExpression,fastq,HS11,HS11_5,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,"Dasatinib,Simvastatin",control,HS11,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,,"Dasatinib,Simvastatin",24
raw,geneExpression,fastq,HS11,HS11_5,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,"Dasatinib,Simvastatin",control,HS11,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,,"Dasatinib,Simvastatin",24
raw,geneExpression,fastq,HS11,HS11_6,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,"Dasatinib,Brigatinib",control,HS11,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,,"Dasatinib,Brigatinib",24
raw,geneExpression,fastq,HS11,HS11_6,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,"Dasatinib,Brigatinib",control,HS11,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,,"Dasatinib,Brigatinib",24
raw,geneExpression,fastq,HS11,HS11_7,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,DMSO,control,HS11,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,,DMSO,24
raw,geneExpression,fastq,HS11,HS11_7,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,DMSO,control,HS11,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,,DMSO,24
raw,geneExpression,fastq,HS11,HS11_8,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,Dasatinib,control,HS11,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,,Dasatinib,24
raw,geneExpression,fastq,HS11,HS11_8,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,Dasatinib,control,HS11,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,,Dasatinib,24
raw,geneExpression,fastq,HS11,HS11_9,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,Simvastatin,control,HS11,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,,Simvastatin,24
raw,geneExpression,fastq,HS11,HS11_9,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,Simvastatin,control,HS11,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,,Simvastatin,24
raw,geneExpression,fastq,MS02,MS02_10,-/-,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Brigatinib,knockout,MS02,RNA-seq,Mus musculus,Yes,1,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,Brigatinib,24
raw,geneExpression,fastq,MS02,MS02_10,-/-,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Brigatinib,knockout,MS02,RNA-seq,Mus musculus,Yes,2,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,Brigatinib,24
raw,geneExpression,fastq,MS02,MS02_11,-/-,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,"Dasatinib,Simvastatin",knockout,MS02,RNA-seq,Mus musculus,Yes,1,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,"Dasatinib,Simvastatin",24
raw,geneExpression,fastq,MS02,MS02_11,-/-,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,"Dasatinib,Simvastatin",knockout,MS02,RNA-seq,Mus musculus,Yes,2,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,"Dasatinib,Simvastatin",24
raw,geneExpression,fastq,MS02,MS02_1,-/-,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,DMSO,knockout,MS02,RNA-seq,Mus musculus,Yes,1,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,DMSO,24
raw,geneExpression,fastq,MS02,MS02_12,-/-,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,"Dasatinib,Brigatinib",knockout,MS02,RNA-seq,Mus musculus,Yes,1,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,"Dasatinib,Brigatinib",24
raw,geneExpression,fastq,MS02,MS02_12,-/-,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,"Dasatinib,Brigatinib",knockout,MS02,RNA-seq,Mus musculus,Yes,2,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,"Dasatinib,Brigatinib",24
raw,geneExpression,fastq,MS02,MS02_1,-/-,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,DMSO,knockout,MS02,RNA-seq,Mus musculus,Yes,2,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,DMSO,24
raw,geneExpression,fastq,MS02,MS02_13,-/-,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,DMSO,knockout,MS02,RNA-seq,Mus musculus,Yes,1,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,DMSO,24
raw,geneExpression,fastq,MS02,MS02_13,-/-,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,DMSO,knockout,MS02,RNA-seq,Mus musculus,Yes,2,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,DMSO,24
raw,geneExpression,fastq,MS02,MS02_14,-/-,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Dasatinib,knockout,MS02,RNA-seq,Mus musculus,Yes,1,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,Dasatinib,24
raw,geneExpression,fastq,MS02,MS02_14,-/-,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Dasatinib,knockout,MS02,RNA-seq,Mus musculus,Yes,2,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,Dasatinib,24
raw,geneExpression,fastq,MS02,MS02_15,-/-,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Simvastatin,knockout,MS02,RNA-seq,Mus musculus,Yes,1,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,Simvastatin,24
raw,geneExpression,fastq,MS02,MS02_15,-/-,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Simvastatin,knockout,MS02,RNA-seq,Mus musculus,Yes,2,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,Simvastatin,24
raw,geneExpression,fastq,MS02,MS02_16,-/-,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Brigatinib,knockout,MS02,RNA-seq,Mus musculus,Yes,1,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,Brigatinib,24
raw,geneExpression,fastq,MS02,MS02_16,-/-,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Brigatinib,knockout,MS02,RNA-seq,Mus musculus,Yes,2,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,Brigatinib,24
raw,geneExpression,fastq,MS02,MS02_17,-/-,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,"Dasatinib,Simvastatin",knockout,MS02,RNA-seq,Mus musculus,Yes,1,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,"Dasatinib,Simvastatin",24
raw,geneExpression,fastq,MS02,MS02_17,-/-,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,"Dasatinib,Simvastatin",knockout,MS02,RNA-seq,Mus musculus,Yes,2,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,"Dasatinib,Simvastatin",24
raw,geneExpression,fastq,MS02,MS02_18,-/-,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,"Dasatinib,Brigatinib",knockout,MS02,RNA-seq,Mus musculus,Yes,1,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,"Dasatinib,Brigatinib",24
raw,geneExpression,fastq,MS02,MS02_18,-/-,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,"Dasatinib,Brigatinib",knockout,MS02,RNA-seq,Mus musculus,Yes,2,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,"Dasatinib,Brigatinib",24
raw,geneExpression,fastq,MS02,MS02_2.,-/-,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Dasatinib,knockout,MS02,RNA-seq,Mus musculus,Yes,1,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,Dasatinib,24
raw,geneExpression,fastq,MS02,MS02_2,-/-,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Dasatinib,knockout,MS02,RNA-seq,Mus musculus,Yes,2,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,Dasatinib,24
raw,geneExpression,fastq,MS02,MS02_3,-/-,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Simvastatin,knockout,MS02,RNA-seq,Mus musculus,Yes,1,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,Simvastatin,24
raw,geneExpression,fastq,MS02,MS02_3,-/-,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Simvastatin,knockout,MS02,RNA-seq,Mus musculus,Yes,2,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,Simvastatin,24
raw,geneExpression,fastq,MS02,MS02_4,-/-,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Brigatinib,knockout,MS02,RNA-seq,Mus musculus,Yes,1,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,Brigatinib,24
raw,geneExpression,fastq,MS02,MS02_4,-/-,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Brigatinib,knockout,MS02,RNA-seq,Mus musculus,Yes,2,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,Brigatinib,24
