name,dataSubtype,dataType,fileFormat,individualID,resourceType,specimenID,studyId,nf2Genotype,cellType,runType,modifiedBy,diagnosis,studyName,platform,experimentalCondition,genePerturbationType,modelSystemName,assay,species,isCellLine,readPair,isPrimaryCell,libraryPrep,isMultiIndividual,isMultiSpecimen,isStranded,timePointUnit,genePerturbationTechnology,genePerturbed,compoundName,experimentalTimePoint
HS01_18.2.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_18,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Brigatinib",knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,NF2,"Dasatinib,Brigatinib",24
HS01_2.1.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_2,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,Dasatinib,knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,NF2,Dasatinib,24
HS01_2.2.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_2,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,Dasatinib,knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,NF2,Dasatinib,24
HS01_3.1.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_3,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,Simvastatin,knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,NF2,Simvastatin,24
HS01_3.2.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_3,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,Simvastatin,knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,NF2,Simvastatin,24
HS01_4.1.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_4,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,Brigatinib,knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,NF2,Brigatinib,24
HS01_4.2.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_4,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,Brigatinib,knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,NF2,Brigatinib,24
HS01_5.1.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_5,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Simvastatin",knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,NF2,"Dasatinib,Simvastatin",24
HS01_5.2.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_5,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Simvastatin",knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,NF2,"Dasatinib,Simvastatin",24
HS01_6.1.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_6,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Brigatinib",knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,NF2,"Dasatinib,Brigatinib",24
HS01_6.2.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_6,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Brigatinib",knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,NF2,"Dasatinib,Brigatinib",24
HS01_7.1.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_7,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,DMSO,knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,NF2,DMSO,24
HS01_7.2.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_7,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,DMSO,knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,NF2,DMSO,24
HS01_8.1.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_8,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,Dasatinib,knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,NF2,Dasatinib,24
HS01_8.2.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_8,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,Dasatinib,knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,NF2,Dasatinib,24
HS01_9.1.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_9,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,Simvastatin,knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,NF2,Simvastatin,24
HS01_9.2.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_9,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,Simvastatin,control,HS01,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,,Simvastatin,24
HS11_10.1.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_10,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,Brigatinib,control,HS11,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,,Brigatinib,24
HS11_10.2.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_10,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,Brigatinib,control,HS11,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,,Brigatinib,24
HS11_11.1.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_11,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Simvastatin",control,HS11,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,,"Dasatinib,Simvastatin",24
HS11_11.2.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_11,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Simvastatin",control,HS11,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,,"Dasatinib,Simvastatin",24
HS11_1.1.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_1,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,DMSO,control,HS11,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,,DMSO,24
HS11_12.1.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_12,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Brigatinib",control,HS11,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,,"Dasatinib,Brigatinib",24
HS11_12.2.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_12,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Brigatinib",control,HS11,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,,"Dasatinib,Brigatinib",24
HS11_1.2.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_1,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,DMSO,control,HS11,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,,DMSO,24
HS11_13.1.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_13,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,DMSO,control,HS11,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,,DMSO,24
HS11_13.2.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_13,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,DMSO,control,HS11,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,,DMSO,24
HS11_14.1.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_14,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,Dasatinib,control,HS11,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,,Dasatinib,24
HS11_14.2.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_14,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,Dasatinib,control,HS11,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,,Dasatinib,24
HS11_15.1.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_15,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,Simvastatin,control,HS11,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,,Simvastatin,24
HS11_15.2.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_15,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,Simvastatin,control,HS11,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,,Simvastatin,24
HS11_16.1.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_16,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,Brigatinib,control,HS11,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,,Brigatinib,24
HS11_16.2.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_16,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,Brigatinib,control,HS11,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,,Brigatinib,24
HS11_17.1.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_17,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Simvastatin",control,HS11,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,,"Dasatinib,Simvastatin",24
HS11_17.2.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_17,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Simvastatin",control,HS11,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,,"Dasatinib,Simvastatin",24
HS11_18.1.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_18,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Brigatinib",control,HS11,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,,"Dasatinib,Brigatinib",24
HS11_18.2.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_18,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Brigatinib",control,HS11,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,,"Dasatinib,Brigatinib",24
HS11_2.1.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_2,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,Dasatinib,control,HS11,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,,Dasatinib,24
HS11_2.2.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_2,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,Dasatinib,control,HS11,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,,Dasatinib,24
HS11_3.1.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_3,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,Simvastatin,control,HS11,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,,Simvastatin,24
HS11_3.2.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_3,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,Simvastatin,control,HS11,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,,Simvastatin,24
HS11_4.1.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_4,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,Brigatinib,control,HS11,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,,Brigatinib,24
HS11_4.2.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_4,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,Brigatinib,control,HS11,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,,Brigatinib,24
HS11_5.1.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_5,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Simvastatin",control,HS11,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,,"Dasatinib,Simvastatin",24
HS11_5.2.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_5,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Simvastatin",control,HS11,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,,"Dasatinib,Simvastatin",24
HS11_6.1.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_6,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Brigatinib",control,HS11,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,,"Dasatinib,Brigatinib",24
HS11_6.2.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_6,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Brigatinib",control,HS11,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,,"Dasatinib,Brigatinib",24
HS11_7.1.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_7,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,DMSO,control,HS11,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,,DMSO,24
HS11_7.2.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_7,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,DMSO,control,HS11,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,,DMSO,24
HS11_8.1.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_8,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,Dasatinib,control,HS11,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,,Dasatinib,24
HS11_8.2.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_8,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,Dasatinib,control,HS11,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,,Dasatinib,24
HS11_9.1.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_9,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,Simvastatin,control,HS11,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,,Simvastatin,24
HS11_9.2.fastq.gz,raw,geneExpression,fastq,HS11,experimentalData,HS11_9,syn2343195,+/+,schwann,pairedEnd,3421893,,Synodos NF2,Illumina HiSeq 2500,Simvastatin,control,HS11,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,,Simvastatin,24
MS02_10.1.fastq.gz,raw,geneExpression,fastq,MS02,experimentalData,MS02_10,syn2343195,-/-,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,Brigatinib,knockout,MS02,RNA-seq,Mus musculus,Yes,1,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,Brigatinib,24
MS02_10.2.fastq.gz,raw,geneExpression,fastq,MS02,experimentalData,MS02_10,syn2343195,-/-,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,Brigatinib,knockout,MS02,RNA-seq,Mus musculus,Yes,2,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,Brigatinib,24
MS02_11.1.fastq.gz,raw,geneExpression,fastq,MS02,experimentalData,MS02_11,syn2343195,-/-,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Simvastatin",knockout,MS02,RNA-seq,Mus musculus,Yes,1,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,"Dasatinib,Simvastatin",24
MS02_11.2.fastq.gz,raw,geneExpression,fastq,MS02,experimentalData,MS02_11,syn2343195,-/-,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Simvastatin",knockout,MS02,RNA-seq,Mus musculus,Yes,2,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,"Dasatinib,Simvastatin",24
MS02_1.1.fastq.gz,raw,geneExpression,fastq,MS02,experimentalData,MS02_1,syn2343195,-/-,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,DMSO,knockout,MS02,RNA-seq,Mus musculus,Yes,1,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,DMSO,24
MS02_12.1.fastq.gz,raw,geneExpression,fastq,MS02,experimentalData,MS02_12,syn2343195,-/-,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Brigatinib",knockout,MS02,RNA-seq,Mus musculus,Yes,1,,polyAselection,No,No,Yes,hours,CRE Recombinase,NF2,"Dasatinib,Brigatinib",24
