name,dataSubtype,dataType,fileFormat,individualID,resourceType,specimenID,studyId,tumorType,nf1Genotype,runType,modifiedBy,diagnosis,readLength,studyName,platform,experimentalCondition,genePerturbationType,Component,libraryPreparationMethod,modelSystemName,assay,species,fundingAgency,isCellLine,initiative,libraryPrep,nucleicAcidSource,isStranded,timePointUnit,progressReportNumber,specimenPreparationMethod,genePerturbationTechnology,comments,experimentalTimepoint
GSM5420953,raw,geneExpression,fastq,sgSUZ12_GSK862_rep1,experimentalData,sgSUZ12_GSK862_rep1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,50.0,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,4000 nM GSK862,knockdown,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,NTAP,Yes,Francis S. Collins Scholars Program,polyAselection,bulk cell,Yes,days,6.0,Fresh collected,CRISPR,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364659,4.0
GSM5420954,raw,geneExpression,fastq,sgSUZ12_GSK862_rep2,experimentalData,sgSUZ12_GSK862_rep2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,50.0,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,4000 nM GSK862,knockdown,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,NTAP,Yes,Francis S. Collins Scholars Program,polyAselection,bulk cell,Yes,days,6.0,Fresh collected,CRISPR,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364660,4.0
GSM5420955,raw,geneExpression,fastq,sgSUZ12_DAC_rep1,experimentalData,sgSUZ12_DAC_rep1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,50.0,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,50 nM Decitabine (DAC),knockdown,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,NTAP,Yes,Francis S. Collins Scholars Program,polyAselection,bulk cell,Yes,days,6.0,Fresh collected,CRISPR,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364661,4.0
GSM5420956,raw,geneExpression,fastq,sgSUZ12_DAC_rep2,experimentalData,sgSUZ12_DAC_rep2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,50.0,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,50 nM Decitabine (DAC),knockdown,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,NTAP,Yes,Francis S. Collins Scholars Program,polyAselection,bulk cell,Yes,days,6.0,Fresh collected,CRISPR,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364662,4.0
SRR15054290_1.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054290_2.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054292_1.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054292_2.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054285_1.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054285_2.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054287_1.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054287_2.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054288_1.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054288_2.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054286_1.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054286_2.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054289_1.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054289_2.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054291_1.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054291_2.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054293_1.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054293_2.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054294_1.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054294_2.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054295_1.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054295_2.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054296_1.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054296_2.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054297_1.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054297_2.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054298_1.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054298_2.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054299_1.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054299_2.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054300_1.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
SRR15054300_2.fastq.gz,,,,,,,syn11681835,,,,3421893,,,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,,,,,NTAP,,Francis S. Collins Scholars Program,,,,,,,,,
