name,dataSubtype,dataType,fileFormat,individualID,resourceType,specimenID,studyId,modifiedBy,studyName,platform,accessType,Component,libraryPreparationMethod,assay,species,fundingAgency,sex,initiative,isStranded,specimenPreparationMethod,libraryStrand
3PNF_SC_1.fastq.gz,raw,geneExpression,fastq,IGTP_3,experimentalData,3PNF_SC,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,Female,Open Proposal Program,Yes,Fresh collected,FirstStranded
EX16_FiPS_14_2.fastq.gz,raw,geneExpression,fastq,IGTP_FIPS,experimentalData,EX16_FiPS_14,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,,Open Proposal Program,Yes,Fresh collected,FirstStranded
EX15_FiPS_NC_2.fastq.gz,raw,geneExpression,fastq,IGTP_FIPS,experimentalData,EX15_FiPS_NC,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,,Open Proposal Program,Yes,Fresh collected,FirstStranded
EX15_FiPS_14_2.fastq.gz,raw,geneExpression,fastq,IGTP_FIPS,experimentalData,EX15_FiPS_14,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,,Open Proposal Program,Yes,Fresh collected,FirstStranded
EXP13_5PNFiPS_NC_2.fastq.gz,raw,geneExpression,fastq,IGTP_5,experimentalData,EXP13_5PNFiPS_NC,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,Male,Open Proposal Program,Yes,Fresh collected,FirstStranded
5PNF_SC_2.fastq.gz,raw,geneExpression,fastq,IGTP_5,experimentalData,5PNF_SC,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,Male,Open Proposal Program,Yes,Fresh collected,FirstStranded
5PNF_TDiPSsv_MM_PSC_2.fastq.gz,raw,geneExpression,fastq,IGTP_5,experimentalData,5PNF_TDiPSsv_MM_PSC,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,Male,Open Proposal Program,Yes,Fresh collected,FirstStranded
EXP13_EXP14_3PNFiPS_5PNFiPS_14_1.fastq.gz,raw,geneExpression,fastq,IGTP_3_and_IGTP_5,experimentalData,EXP13_EXP14_3PNFiPS_5PNFiPS_14,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,,Open Proposal Program,Yes,Fresh collected,FirstStranded
EX16_FiPS_7_1.fastq.gz,raw,geneExpression,fastq,IGTP_FIPS,experimentalData,EX16_FiPS_7,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,,Open Proposal Program,Yes,Fresh collected,FirstStranded
EXP11_3PNFiPs_MM_NC_2.fastq.gz,raw,geneExpression,fastq,IGTP_3,experimentalData,EXP11_3PNFiPs_MM_NC,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,Female,Open Proposal Program,Yes,Fresh collected,FirstStranded
EX15_FiPS_7_1.fastq.gz,raw,geneExpression,fastq,IGTP_FIPS,experimentalData,EX15_FiPS_7,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,,Open Proposal Program,Yes,Fresh collected,FirstStranded
EXP13_EXP14_3PNFiPS_5PNFiPS_NC_2.fastq.gz,raw,geneExpression,fastq,IGTP_3_and_IGTP_5,experimentalData,EXP13_EXP14_3PNFiPS_5PNFiPS_NC,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,,Open Proposal Program,Yes,Fresh collected,FirstStranded
EX15_FiPS_30_2.fastq.gz,raw,geneExpression,fastq,IGTP_FIPS,experimentalData,EX15_FiPS_30,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,,Open Proposal Program,Yes,Fresh collected,FirstStranded
5PNF_SC_1.fastq.gz,raw,geneExpression,fastq,IGTP_5,experimentalData,5PNF_SC,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,Male,Open Proposal Program,Yes,Fresh collected,FirstStranded
3PNF_SC_2.fastq.gz,raw,geneExpression,fastq,IGTP_3,experimentalData,3PNF_SC,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,Female,Open Proposal Program,Yes,Fresh collected,FirstStranded
EX15_FiPS_NC_1.fastq.gz,raw,geneExpression,fastq,IGTP_FIPS,experimentalData,EX15_FiPS_NC,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,,Open Proposal Program,Yes,Fresh collected,FirstStranded
EXP10_5PNFiPS_7_1.fastq.gz,raw,geneExpression,fastq,IGTP_5,experimentalData,EXP10_5PNFiPS_7,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,Male,Open Proposal Program,Yes,Fresh collected,FirstStranded
EXP13_EXP14_3PNFiPS_5PNFiPS_NC_1.fastq.gz,raw,geneExpression,fastq,IGTP_3_and_IGTP_5,experimentalData,EXP13_EXP14_3PNFiPS_5PNFiPS_NC,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,,Open Proposal Program,Yes,Fresh collected,FirstStranded
EXP10_5PNFiPS_30_1.fastq.gz,raw,geneExpression,fastq,IGTP_5,experimentalData,EXP10_5PNFiPS_30,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,Male,Open Proposal Program,Yes,Fresh collected,FirstStranded
EXP11_3PNFiPs_MM_NC_1.fastq.gz,raw,geneExpression,fastq,IGTP_3,experimentalData,EXP11_3PNFiPs_MM_NC,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,Female,Open Proposal Program,Yes,Fresh collected,FirstStranded
3PNF_SiPSsv_MM_PSC_2.fastq.gz,raw,geneExpression,fastq,IGTP_3,experimentalData,3PNF_SiPSsv_MM_PSC,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,Female,Open Proposal Program,Yes,Fresh collected,FirstStranded
EX18_FiPS_14_1.fastq.gz,raw,geneExpression,fastq,IGTP_FIPS,experimentalData,EX18_FiPS_14,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,,Open Proposal Program,Yes,Fresh collected,FirstStranded
EX18_FiPS_30_2.fastq.gz,raw,geneExpression,fastq,IGTP_FIPS,experimentalData,EX18_FiPS_30,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,,Open Proposal Program,Yes,Fresh collected,FirstStranded
EX16_FiPS_7_2.fastq.gz,raw,geneExpression,fastq,IGTP_FIPS,experimentalData,EX16_FiPS_7,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,,Open Proposal Program,Yes,Fresh collected,FirstStranded
EX18_FiPS_7_1.fastq.gz,raw,geneExpression,fastq,IGTP_FIPS,experimentalData,EX18_FiPS_7,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,,Open Proposal Program,Yes,Fresh collected,FirstStranded
EX15_FiPS_30_1.fastq.gz,raw,geneExpression,fastq,IGTP_FIPS,experimentalData,EX15_FiPS_30,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,,Open Proposal Program,Yes,Fresh collected,FirstStranded
EX16_FiPS_NC_2.fastq.gz,raw,geneExpression,fastq,IGTP_FIPS,experimentalData,EX16_FiPS_NC,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,,Open Proposal Program,Yes,Fresh collected,FirstStranded
EX18_FiPS_30_1.fastq.gz,raw,geneExpression,fastq,IGTP_FIPS,experimentalData,EX18_FiPS_30,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,,Open Proposal Program,Yes,Fresh collected,FirstStranded
EXP11_3PNFiPs_MM_7_1.fastq.gz,raw,geneExpression,fastq,IGTP_3,experimentalData,EXP11_3PNFiPs_MM_7,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,Female,Open Proposal Program,Yes,Fresh collected,FirstStranded
EX16_FiPS_14_1.fastq.gz,raw,geneExpression,fastq,IGTP_FIPS,experimentalData,EX16_FiPS_14,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,,Open Proposal Program,Yes,Fresh collected,FirstStranded
EXP13_EXP14_3PNFiPS_5PNFiPS_7_2.fastq.gz,raw,geneExpression,fastq,IGTP_3_and_IGTP_5,experimentalData,EXP13_EXP14_3PNFiPS_5PNFiPS_7,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,,Open Proposal Program,Yes,Fresh collected,FirstStranded
EXP10_5PNFiPS_7_2.fastq.gz,raw,geneExpression,fastq,IGTP_5,experimentalData,EXP10_5PNFiPS_7,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,Male,Open Proposal Program,Yes,Fresh collected,FirstStranded
EX18_FiPS_14_2.fastq.gz,raw,geneExpression,fastq,IGTP_FIPS,experimentalData,EX18_FiPS_14,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,,Open Proposal Program,Yes,Fresh collected,FirstStranded
EXP13_5PNFiPS_NC_1.fastq.gz,raw,geneExpression,fastq,IGTP_5,experimentalData,EXP13_5PNFiPS_NC,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,Male,Open Proposal Program,Yes,Fresh collected,FirstStranded
EX16_FiPS_30_1.fastq.gz,raw,geneExpression,fastq,IGTP_FIPS,experimentalData,EX16_FiPS_30,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,,Open Proposal Program,Yes,Fresh collected,FirstStranded
EXP11_3PNFiPs_MM_14_2.fastq.gz,raw,geneExpression,fastq,IGTP_3,experimentalData,EXP11_3PNFiPs_MM_14,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,Female,Open Proposal Program,Yes,Fresh collected,FirstStranded
EXP11_3PNFiPs_MM_30_2.fastq.gz,raw,geneExpression,fastq,IGTP_3,experimentalData,EXP11_3PNFiPs_MM_30,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,Female,Open Proposal Program,Yes,Fresh collected,FirstStranded
EXP11_3PNFiPs_MM_7_2.fastq.gz,raw,geneExpression,fastq,IGTP_3,experimentalData,EXP11_3PNFiPs_MM_7,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,Female,Open Proposal Program,Yes,Fresh collected,FirstStranded
EX16_FiPS_30_2.fastq.gz,raw,geneExpression,fastq,IGTP_FIPS,experimentalData,EX16_FiPS_30,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,,Open Proposal Program,Yes,Fresh collected,FirstStranded
EXP13_EXP14_3PNFiPS_5PNFiPS_7_1.fastq.gz,raw,geneExpression,fastq,IGTP_3_and_IGTP_5,experimentalData,EXP13_EXP14_3PNFiPS_5PNFiPS_7,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,,Open Proposal Program,Yes,Fresh collected,FirstStranded
EXP10_5PNFiPS_30_2.fastq.gz,raw,geneExpression,fastq,IGTP_5,experimentalData,EXP10_5PNFiPS_30,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,Male,Open Proposal Program,Yes,Fresh collected,FirstStranded
EX15_FiPS_7_2.fastq.gz,raw,geneExpression,fastq,IGTP_FIPS,experimentalData,EX15_FiPS_7,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,,Open Proposal Program,Yes,Fresh collected,FirstStranded
EX18_FiPS_7_2.fastq.gz,raw,geneExpression,fastq,IGTP_FIPS,experimentalData,EX18_FiPS_7,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,,Open Proposal Program,Yes,Fresh collected,FirstStranded
EXP11_3PNFiPs_MM_30_1.fastq.gz,raw,geneExpression,fastq,IGTP_3,experimentalData,EXP11_3PNFiPs_MM_30,syn4939918,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,Illumina HiSeq 3000,REQUEST ACCESS,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,NTAP,Female,Open Proposal Program,Yes,Fresh collected,FirstStranded
synapse_storage_manifest_rnaseqtemplate.csv,,,,,,,syn4939918,3423450,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,,,RNASeqTemplate,,,,NTAP,,Open Proposal Program,,,
