name,dataSubtype,dataType,fileFormat,individualID,resourceType,studyId,runType,modifiedBy,readLength,platform,assay,species,fundingAgency,initiative,libraryPrep,nucleicAcidSource,readStrandOrigin,dissociationMethod
MN2_Tumor_trimmed_mk_dup_after_BQSR.bam,raw,genomicVariants,bam,MN-2,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
WU-561_PDX_trimmed_mk_dup_after_BQSR.bam,raw,genomicVariants,bam,WU-561,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
WU-561_Normal_trimmed_mk_dup_after_BQSR.bam,raw,genomicVariants,bam,WU-561,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
WU-561_Tumor_trimmed_mk_dup_after_BQSR.bam,raw,genomicVariants,bam,WU-561,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
JH-2-055_PDX_trimmed_mk_dup_after_BQSR.bam,raw,genomicVariants,bam,JH-2-055,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
JH-2-055_Tumor_trimmed_mk_dup_after_BQSR.bam,raw,genomicVariants,bam,JH-2-055,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
WU-536_PDX_trimmed_mk_dup_after_BQSR.bam,raw,genomicVariants,bam,WU-536,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
WU-536_Normal_trimmed_mk_dup_after_BQSR.bam,raw,genomicVariants,bam,WU-536,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
WU-536_Tumor_trimmed_mk_dup_after_BQSR.bam,raw,genomicVariants,bam,WU-536,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
MN3_PDX_trimmed_mk_dup_after_BQSR.bam,raw,genomicVariants,bam,MN-3,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
MN3_Normal_trimmed_mk_dup_after_BQSR.bam,raw,genomicVariants,bam,MN-3,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
MN3_Tumor_trimmed_mk_dup_after_BQSR.bam,raw,genomicVariants,bam,MN-3,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
JH-2-009_PDX_trimmed_mk_dup_after_BQSR.bai,raw,genomicVariants,bai,JH-2-009,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
JH-2-009_Normal_trimmed_mk_dup_after_BQSR.bai,raw,genomicVariants,bai,JH-2-009,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
JH-2-009_Tumor_trimmed_mk_dup_after_BQSR.bai,raw,genomicVariants,bai,JH-2-009,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
WU-487_PDX_trimmed_mk_dup_after_BQSR.bai,raw,genomicVariants,bai,WU-487,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
WU-487_Normal_trimmed_merged_mkdup_after_BQSR.bai,raw,genomicVariants,bai,WU-487,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
WU-487_Tumor_trimmed_mk_dup_after_BQSR.bai,raw,genomicVariants,bai,WU-487,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
JH-2-079_PDX_trimmed_mk_dup_after_BQSR.bai,raw,genomicVariants,bai,JH-2-079c,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
JH-2-079_Tumor_trimmed_mk_dup_after_BQSR.bai,raw,genomicVariants,bai,JH-2-079c,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
MN2_PDX_trimmed_mk_dup_after_BQSR.bai,raw,genomicVariants,bai,MN-2,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
MN2_Normal_trimmed_merged_mkdup_after_BQSR.bai,raw,genomicVariants,bai,MN-2,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
MN2_Tumor_trimmed_mk_dup_after_BQSR.bai,raw,genomicVariants,bai,MN-2,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
WU-561_PDX_trimmed_mk_dup_after_BQSR.bai,raw,genomicVariants,bai,WU-561,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
WU-561_Normal_trimmed_mk_dup_after_BQSR.bai,raw,genomicVariants,bai,WU-561,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
WU-561_Tumor_trimmed_mk_dup_after_BQSR.bai,raw,genomicVariants,bai,WU-561,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
JH-2-055_PDX_trimmed_mk_dup_after_BQSR.bai,raw,genomicVariants,bai,JH-2-055,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
JH-2-055_Tumor_trimmed_mk_dup_after_BQSR.bai,raw,genomicVariants,bai,JH-2-055,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
WU-536_PDX_trimmed_mk_dup_after_BQSR.bai,raw,genomicVariants,bai,WU-536,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
WU-536_Normal_trimmed_mk_dup_after_BQSR.bai,raw,genomicVariants,bai,WU-536,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
WU-536_Tumor_trimmed_mk_dup_after_BQSR.bai,raw,genomicVariants,bai,WU-536,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
MN3_PDX_trimmed_mk_dup_after_BQSR.bai,raw,genomicVariants,bai,MN-3,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
MN3_Normal_trimmed_mk_dup_after_BQSR.bai,raw,genomicVariants,bai,MN-3,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
MN3_Tumor_trimmed_mk_dup_after_BQSR.bai,raw,genomicVariants,bai,MN-3,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
synapse_storage_manifest.csv,,,,,,syn21984813,,3342573,,,,,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,,,,
