name,dataSubtype,dataType,fileFormat,resourceType,studyId,nf2Genotype,modifiedBy,diagnosis,studyName,accessType,assay,species,fundingAgency,isCellLine,initiative,progressReportNumber
202915600104_R07C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430050_R04C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430050_R02C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430125_R05C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915600104_R04C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908540037_R04C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908540037_R07C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430125_R06C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908420087_R06C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915600104_R05C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430125_R02C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430125_R04C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915600104_R02C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908420087_R08C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908420087_R01C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430125_R05C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430050_R04C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915420028_R08C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430050_R07C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915600104_R03C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908420087_R02C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908420087_R01C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430050_R06C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430050_R03C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908540037_R05C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915600104_R07C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908540037_R01C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430050_R05C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430050_R06C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430050_R01C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915600104_R08C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430125_R08C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430050_R05C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908420087_R06C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915600104_R01C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430050_R07C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915600104_R01C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915420028_R02C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915420028_R06C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915600104_R03C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915600104_R02C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908540037_R03C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908540037_R02C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430125_R03C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430050_R08C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915420028_R02C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915420028_R03C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908540037_R02C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915420028_R05C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915600104_R06C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915420028_R06C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908420087_R07C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908540037_R07C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430125_R04C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915420028_R08C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908420087_R05C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430125_R02C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915420028_R04C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915420028_R03C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908540037_R08C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430125_R08C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430125_R01C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915600104_R05C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908540037_R01C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908420087_R08C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430125_R07C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908540037_R06C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908420087_R03C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430050_R03C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908420087_R07C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908420087_R03C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908420087_R04C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908540037_R08C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915600104_R06C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915420028_R07C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908420087_R02C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
