Column,Classification,Frequency,Example_Files,Schema_Status,Schema_Match
readStrandOrigin,Evaluate,22,"nf_12.csv, nf_13.csv, nf_14.csv",Found (Case Insensitive),ReadStrandOrigin
libraryPreparationMethod,Evaluate,22,"nf_13.csv, nf_15.csv, nf_16.csv",Found (Case Insensitive),LibraryPreparationMethod
isMultiIndividual,Evaluate,21,"nf_10.csv, nf_11.csv, nf_12.csv",Found (Case Insensitive),IsMultiIndividual
isMultiSpecimen,Evaluate,21,"nf_10.csv, nf_11.csv, nf_12.csv",Found (Case Insensitive),IsMultiSpecimen
isStranded,Evaluate,19,"nf_12.csv, nf_13.csv, nf_14.csv",Found (Case Insensitive),IsStranded
timePointUnit,Evaluate,19,"nf_17.csv, nf_18.csv, nf_19.csv",Found (Case Insensitive),TimepointUnit
progressReportNumber,Evaluate,18,"nf_1.csv, nf_2.csv, nf_28.csv",Found (Case Insensitive),ProgressReportNumber
specimenPreparationMethod,Evaluate,18,"nf_12.csv, nf_2.csv, nf_21.csv",Found (Case Insensitive),SpecimenPreparationMethod
dissociationMethod,Evaluate,17,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),DissociationMethod
diagnosis,Evaluate,16,"nf_1.csv, nf_12.csv, nf_13.csv",Found (Case Insensitive),Diagnosis
platform,Evaluate,16,"nf_1.csv, nf_13.csv, nf_16.csv",Found (Case Insensitive),Platform
ageUnit,Evaluate,15,"nf_1.csv, nf_2.csv, nf_3.csv",Found (Case Insensitive),AgeUnit
studyName,Evaluate,15,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),StudyName
genePerturbationTechnology,Evaluate,14,"nf_17.csv, nf_18.csv, nf_19.csv",Found (Case Insensitive),GenePerturbationTechnology
genePerturbed,Evaluate,14,"nf_17.csv, nf_18.csv, nf_19.csv",Found (Case Insensitive),GenePerturbed
compoundName,Evaluate,11,"nf_17.csv, nf_18.csv, nf_19.csv",Found (Case Insensitive),CompoundName
comments,Evaluate,9,"nf_2.csv, nf_22.csv, nf_23.csv",Found (Case Insensitive),Comments
readDepth,Evaluate,9,"nf_2.csv, nf_3.csv, nf_33.csv",Found (Case Insensitive),ReadDepth
specimenIdSource,Evaluate,8,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),SpecimenIDSource
transplantationRecipientTissue,Evaluate,8,"nf_17.csv, nf_18.csv, nf_19.csv",Found (Case Insensitive),TransplantationRecipientTissue
transplantationRecipientSpecies,Evaluate,8,"nf_24.csv, nf_25.csv, nf_33.csv",Found (Case Insensitive),TransplantationRecipientSpecies
experimentalTimepoint,Evaluate,8,"nf_33.csv, nf_34.csv, nf_35.csv",Found (Case Insensitive),ExperimentalTimepoint
isXenograft,Evaluate,6,"nf_1.csv, nf_21.csv, nf_22.csv",Found (Case Insensitive),IsXenograft
individualIdSource,Evaluate,6,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),IndividualIdSource
experimentalTimePoint,Evaluate,6,"nf_17.csv, nf_18.csv, nf_19.csv",Found (Case Insensitive),ExperimentalTimepoint
compoundDoseUnit,Evaluate,6,"nf_17.csv, nf_18.csv, nf_19.csv",Found (Case Insensitive),CompoundDoseUnit
libraryStrand,Evaluate,6,"nf_21.csv, nf_22.csv, nf_23.csv",Found (Case Insensitive),LibraryStrand
workflow,Evaluate,5,"nf_26.csv, nf_27.csv, nf_28.csv",Found (Case Insensitive),Workflow
workflowLink,Evaluate,5,"nf_26.csv, nf_27.csv, nf_28.csv",Found (Case Insensitive),WorkflowLink
pain,Evaluate,4,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),Pain
averageBaseQuality,Evaluate,3,"nf_28.csv, nf_29.csv, nf_30.csv",Found (Case Insensitive),AverageBaseQuality
expressionUnit,Evaluate,3,"nf_28.csv, nf_29.csv, nf_30.csv",Found (Case Insensitive),ExpressionUnit
genomicReference,Evaluate,3,"nf_28.csv, nf_29.csv, nf_30.csv",Found (Case Insensitive),GenomicReference
pairsOnDifferentChr,Evaluate,3,"nf_28.csv, nf_29.csv, nf_30.csv",Found (Case Insensitive),PairsOnDifferentChr
readsDuplicatedPercent,Evaluate,3,"nf_28.csv, nf_29.csv, nf_30.csv",Found (Case Insensitive),ReadsDuplicatedPercent
readsMappedPercent,Evaluate,3,"nf_28.csv, nf_29.csv, nf_30.csv",Found (Case Insensitive),ReadsMappedPercent
totalReads,Evaluate,3,"nf_28.csv, nf_29.csv, nf_30.csv",Found (Case Insensitive),TotalReads
compoundDose,Evaluate,2,"nf_31.csv, nf_32.csv",Found (Case Insensitive),CompoundDose
channel,Evaluate,1,nf_4.csv,Found (Case Insensitive),Channel
targetDepth,Evaluate,1,nf_9.csv,Found (Case Insensitive),TargetDepth
