File,Column,Category,Reason,Sample_Values,Name_Check,Data_Check
nf_1.csv,progressReportNumber,Likely Human,No computer-generated patterns detected,Not Applicable | Not Applicable | Not Applicable,Likely human-annotated,Human-readable format
nf_1.csv,sex,Likely Human,No computer-generated patterns detected,Female | Female | Male,Likely human-annotated,Human-readable format
nf_1.csv,species,Likely Human,No computer-generated patterns detected,Homo sapiens | Homo sapiens | Homo sapiens,Likely human-annotated,Human-readable format
nf_1.csv,studyName,Likely Human,No computer-generated patterns detected,Genomic Characterization of MPNST Cell Lines | Genomic Characterization of MPNST Cell Lines | Genomic Characterization of MPNST Cell Lines,Likely human-annotated,Human-readable format
nf_10.csv,id,Computer Generated,Ends with ID,syn5613599 | syn5613600 | syn5613601,Ends with ID,Synapse ID format
nf_10.csv,individualID,Computer Generated,Ends with ID,ipNF05.5 | ipNF05.5 | ipNF05.5,Ends with ID,Human-readable format
nf_10.csv,specimenID,Computer Generated,Ends with ID,ipNF05.5 | ipNF05.5 | ipNF05.5,Ends with ID,Human-readable format
nf_10.csv,Resource_id,Computer Generated,Ends with ID,5502caf5-4cf1-418f-bf50-164cfa316b0f | 5502caf5-4cf1-418f-bf50-164cfa316b0f | 5502caf5-4cf1-418f-bf50-164cfa316b0f,Ends with ID,UUID format
nf_10.csv,cellType,Computer Generated,Type field (often system-generated),cultured cell | cultured cell | cultured cell,Type field (often system-generated),Human-readable format
nf_10.csv,dataSubtype,Computer Generated,Type field (often system-generated),processed | metadata | processed,Type field (often system-generated),Human-readable format
nf_10.csv,dataType,Computer Generated,Type field (often system-generated),drugCombinationScreen | drugCombinationScreen | drugCombinationScreen,Type field (often system-generated),Human-readable format
nf_10.csv,diagnosis,Computer Generated,Consistent alphanumeric format,Neurofibromatosis type 1 | Neurofibromatosis type 1 | Neurofibromatosis type 1,Likely human-annotated,Consistent alphanumeric format
nf_10.csv,disease,Computer Generated,Consistent alphanumeric format,Neurofibromatosis 1 | Neurofibromatosis 1 | Neurofibromatosis 1,Likely human-annotated,Consistent alphanumeric format
nf_10.csv,drugScreenType,Computer Generated,Type field (often system-generated),combinationLibraryScreen | combinationLibraryScreen | combinationLibraryScreen,Type field (often system-generated),Human-readable format
nf_10.csv,fileFormat,Computer Generated,File format field,csv | csv | csv,File format field,Human-readable format
nf_10.csv,nf1Genotype,Computer Generated,Type field (often system-generated),-/- | -/- | -/-,Type field (often system-generated),Human-readable format
nf_10.csv,nf2Genotype,Computer Generated,Type field (often system-generated),+/+ | +/+ | +/+,Type field (often system-generated),Human-readable format
nf_10.csv,resourceType,Computer Generated,Type field (often system-generated),experimentalData | experimentalData | experimentalData,Type field (often system-generated),Human-readable format
nf_10.csv,tumorType,Computer Generated,Type field (often system-generated),Plexiform Neurofibroma | Plexiform Neurofibroma | Plexiform Neurofibroma,Type field (often system-generated),Human-readable format
nf_10.csv,studyId,Computer Generated,Ends with ID,syn4939906 | syn4939906 | syn4939906,Ends with ID,Synapse ID format
nf_10.csv,name,Likely Human,No computer-generated patterns detected,iPNF05.5_10x10_CCG_16h_calc.csv | iPNF05.5_10x10_CCG_16h_metadata.csv | iPNF05.5_10x10_CCG_16h_responses.csv,Likely human-annotated,Human-readable format
nf_10.csv,assay,Likely Human,No computer-generated patterns detected,cell viability assay | cell viability assay | cell viability assay,Likely human-annotated,Human-readable format
nf_10.csv,isCellLine,Likely Human,No computer-generated patterns detected,Yes | Yes | Yes,Likely human-annotated,Human-readable format
nf_10.csv,isMultiIndividual,Likely Human,No computer-generated patterns detected,No | No | No,Likely human-annotated,Human-readable format
nf_10.csv,isMultiSpecimen,Likely Human,No computer-generated patterns detected,Yes | Yes | Yes,Likely human-annotated,Human-readable format
nf_10.csv,organ,Likely Human,No computer-generated patterns detected,nerves | nerves | nerves,Likely human-annotated,Human-readable format
nf_10.csv,species,Likely Human,No computer-generated patterns detected,Homo sapiens | Homo sapiens | Homo sapiens,Likely human-annotated,Human-readable format
nf_10.csv,tissue,Likely Human,No computer-generated patterns detected,nerve tissue | nerve tissue | nerve tissue,Likely human-annotated,Human-readable format
nf_10.csv,fundingAgency,Likely Human,No computer-generated patterns detected,NTAP | NTAP | NTAP,Likely human-annotated,Human-readable format
nf_10.csv,initiative,Likely Human,No computer-generated patterns detected,Cell Culture Initiative | Cell Culture Initiative | Cell Culture Initiative,Likely human-annotated,Human-readable format
nf_10.csv,studyName,Likely Human,No computer-generated patterns detected,Drug Screening of pNF Cell Lines | Drug Screening of pNF Cell Lines | Drug Screening of pNF Cell Lines,Likely human-annotated,Human-readable format
nf_11.csv,id,Computer Generated,Ends with ID,syn5613581 | syn5613582 | syn5613583,Ends with ID,Synapse ID format
nf_11.csv,individualID,Computer Generated,Ends with ID,ipn02.3 | ipn02.3 | ipn02.3,Ends with ID,Human-readable format
nf_11.csv,specimenID,Computer Generated,Ends with ID,ipn02.3 | ipn02.3 | ipn02.3,Ends with ID,Human-readable format
nf_11.csv,Resource_id,Computer Generated,Ends with ID,3a507bfd-7d2b-4238-b79a-83fe985c2cea | 3a507bfd-7d2b-4238-b79a-83fe985c2cea | 3a507bfd-7d2b-4238-b79a-83fe985c2cea,Ends with ID,UUID format
nf_11.csv,cellType,Computer Generated,Type field (often system-generated),cultured cell | cultured cell | cultured cell,Type field (often system-generated),Human-readable format
nf_11.csv,dataSubtype,Computer Generated,Type field (often system-generated),processed | metadata | processed,Type field (often system-generated),Human-readable format
nf_11.csv,dataType,Computer Generated,Type field (often system-generated),drugCombinationScreen | drugCombinationScreen | drugCombinationScreen,Type field (often system-generated),Human-readable format
nf_11.csv,diagnosis,Computer Generated,Consistent alphanumeric format,Neurofibromatosis type 1 | Neurofibromatosis type 1 | Neurofibromatosis type 1,Likely human-annotated,Consistent alphanumeric format
nf_11.csv,disease,Computer Generated,Consistent alphanumeric format,Neurofibromatosis 1 | Neurofibromatosis 1 | Neurofibromatosis 1,Likely human-annotated,Consistent alphanumeric format
nf_11.csv,drugScreenType,Computer Generated,Type field (often system-generated),combinationLibraryScreen | combinationLibraryScreen | combinationLibraryScreen,Type field (often system-generated),Human-readable format
nf_11.csv,fileFormat,Computer Generated,File format field,csv | csv | csv,File format field,Human-readable format
nf_11.csv,nf1Genotype,Computer Generated,Type field (often system-generated),+/+ | +/+ | +/+,Type field (often system-generated),Human-readable format
nf_11.csv,nf2Genotype,Computer Generated,Type field (often system-generated),+/+ | +/+ | +/+,Type field (often system-generated),Human-readable format
nf_11.csv,resourceType,Computer Generated,Type field (often system-generated),experimentalData | experimentalData | experimentalData,Type field (often system-generated),Human-readable format
nf_11.csv,tumorType,Computer Generated,Type field (often system-generated),Plexiform Neurofibroma | Plexiform Neurofibroma | Plexiform Neurofibroma,Type field (often system-generated),Human-readable format
nf_11.csv,studyId,Computer Generated,Ends with ID,syn4939906 | syn4939906 | syn4939906,Ends with ID,Synapse ID format
nf_11.csv,name,Likely Human,No computer-generated patterns detected,iPN02.3l_6x6_CTG_48h_calc.csv | iPN02.3l_6x6_CTG_48h_metadata.csv | iPN02.3l_6x6_CTG_48h_responses.csv,Likely human-annotated,Human-readable format
nf_11.csv,assay,Likely Human,No computer-generated patterns detected,cell viability assay | cell viability assay | cell viability assay,Likely human-annotated,Human-readable format
nf_11.csv,isCellLine,Likely Human,No computer-generated patterns detected,Yes | Yes | Yes,Likely human-annotated,Human-readable format
nf_11.csv,isMultiIndividual,Likely Human,No computer-generated patterns detected,No | No | No,Likely human-annotated,Human-readable format
nf_11.csv,isMultiSpecimen,Likely Human,No computer-generated patterns detected,Yes | Yes | Yes,Likely human-annotated,Human-readable format
nf_11.csv,organ,Likely Human,No computer-generated patterns detected,nerves | nerves | nerves,Likely human-annotated,Human-readable format
nf_11.csv,species,Likely Human,No computer-generated patterns detected,Homo sapiens | Homo sapiens | Homo sapiens,Likely human-annotated,Human-readable format
nf_11.csv,tissue,Likely Human,No computer-generated patterns detected,nerve tissue | nerve tissue | nerve tissue,Likely human-annotated,Human-readable format
nf_11.csv,fundingAgency,Likely Human,No computer-generated patterns detected,NTAP | NTAP | NTAP,Likely human-annotated,Human-readable format
nf_11.csv,initiative,Likely Human,No computer-generated patterns detected,Cell Culture Initiative | Cell Culture Initiative | Cell Culture Initiative,Likely human-annotated,Human-readable format
nf_11.csv,studyName,Likely Human,No computer-generated patterns detected,Drug Screening of pNF Cell Lines | Drug Screening of pNF Cell Lines | Drug Screening of pNF Cell Lines,Likely human-annotated,Human-readable format
nf_12.csv,id,Computer Generated,Ends with ID,syn18468126 | syn18468127 | syn18468128,Ends with ID,Synapse ID format
nf_12.csv,name,Computer Generated,Consistent alphanumeric format,C856CANXX_1_0_1.fastq.gz | C856CANXX_1_0_2.fastq.gz | C856CANXX_2_0_1.fastq.gz,Likely human-annotated,Consistent alphanumeric format
nf_12.csv,Resource_id,Computer Generated,Ends with ID,844b598c-0171-4972-91c3-27aa21b45d52 | 844b598c-0171-4972-91c3-27aa21b45d52 | 3a507bfd-7d2b-4238-b79a-83fe985c2cea,Ends with ID,UUID format
nf_12.csv,accessType,Computer Generated,Type field (often system-generated),PUBLIC | PUBLIC | PUBLIC,Type field (often system-generated),Human-readable format
nf_12.csv,cellType,Computer Generated,Type field (often system-generated),schwann | schwann | schwann,Type field (often system-generated),Human-readable format
nf_12.csv,dataSubtype,Computer Generated,Type field (often system-generated),raw | raw | raw,Type field (often system-generated),Human-readable format
nf_12.csv,dataType,Computer Generated,Type field (often system-generated),geneExpression | geneExpression | geneExpression,Type field (often system-generated),Human-readable format
nf_12.csv,entityId,Computer Generated,Ends with ID,syn18468126 | syn18468127 | syn18468128,Ends with ID,Synapse ID format
nf_12.csv,fileFormat,Computer Generated,File format field,fastq | fastq | fastq,File format field,Human-readable format
nf_12.csv,individualID,Computer Generated,Ends with ID,hTERT NF1 ipNF05.5 (Mixed clones) | hTERT NF1 ipNF05.5 (Mixed clones) | hTERT NF1 ipn02.3 2λ,Ends with ID,Human-readable format
nf_12.csv,nf1Genotype,Computer Generated,Type field (often system-generated),-/- | -/- | +/+,Type field (often system-generated),Human-readable format
nf_12.csv,nf2Genotype,Computer Generated,Type field (often system-generated),+/+ | +/+ | +/+,Type field (often system-generated),Human-readable format
nf_12.csv,platform,Computer Generated,Consistent alphanumeric format,Illumina HiSeq 2500 | Illumina HiSeq 2500 | Illumina HiSeq 2500,Likely human-annotated,Consistent alphanumeric format
nf_12.csv,readLength,Computer Generated,Length field,100 | 100 | 100,Length field,Human-readable format
nf_12.csv,readPairOrientation,Computer Generated,Created/Modified on field,inward | inward | inward,Created/Modified on field,Human-readable format
nf_12.csv,resourceType,Computer Generated,Type field (often system-generated),experimentalData | experimentalData | experimentalData,Type field (often system-generated),Human-readable format
nf_12.csv,runType,Computer Generated,Type field (often system-generated),pairedEnd | pairedEnd | pairedEnd,Type field (often system-generated),Human-readable format
nf_12.csv,specimenID,Computer Generated,Ends with ID,hTERT NF1 ipNF05.5 (Mixed clones) | hTERT NF1 ipNF05.5 (Mixed clones) | hTERT NF1 ipn02.3 2λ,Ends with ID,Human-readable format
nf_12.csv,studyId,Computer Generated,Ends with ID,syn4939874 | syn4939874 | syn4939874,Ends with ID,Synapse ID format
nf_12.csv,tumorType,Computer Generated,Type field (often system-generated),Plexiform Neurofibroma | Plexiform Neurofibroma | Plexiform Neurofibroma,Type field (often system-generated),Human-readable format
nf_12.csv,accessTeam,Likely Human,No computer-generated patterns detected,273948 | 273948 | 273948,Likely human-annotated,Human-readable format
nf_12.csv,assay,Likely Human,No computer-generated patterns detected,RNA-seq | RNA-seq | RNA-seq,Likely human-annotated,Human-readable format
nf_12.csv,diagnosis,Likely Human,No computer-generated patterns detected,Neurofibromatosis type 1 | Neurofibromatosis type 1 | Not Applicable,Likely human-annotated,Human-readable format
nf_12.csv,fundingAgency,Likely Human,No computer-generated patterns detected,NTAP | NTAP | NTAP,Likely human-annotated,Human-readable format
nf_12.csv,initiative,Likely Human,No computer-generated patterns detected,Cell Culture Initiative | Cell Culture Initiative | Cell Culture Initiative,Likely human-annotated,Human-readable format
nf_12.csv,isCellLine,Likely Human,No computer-generated patterns detected,Yes | Yes | Yes,Likely human-annotated,Human-readable format
nf_12.csv,isMultiIndividual,Likely Human,No computer-generated patterns detected,No | No | No,Likely human-annotated,Human-readable format
nf_12.csv,isMultiSpecimen,Likely Human,No computer-generated patterns detected,No | No | No,Likely human-annotated,Human-readable format
nf_12.csv,isStranded,Likely Human,No computer-generated patterns detected,Yes | Yes | Yes,Likely human-annotated,Human-readable format
nf_12.csv,libraryPrep,Likely Human,No computer-generated patterns detected,rRNAdepletion | rRNAdepletion | rRNAdepletion,Likely human-annotated,Human-readable format
nf_12.csv,modelSystemName,Likely Human,No computer-generated patterns detected,hTERT NF1 ipNF05.5 (Mixed clones) | hTERT NF1 ipNF05.5 (Mixed clones) | hTERT NF1 ipn02.3 2λ,Likely human-annotated,Human-readable format
nf_12.csv,nucleicAcidSource,Likely Human,No computer-generated patterns detected,bulk cell | bulk cell | bulk cell,Likely human-annotated,Human-readable format
nf_12.csv,organ,Likely Human,No computer-generated patterns detected,nerves | nerves | nerves,Likely human-annotated,Human-readable format
nf_12.csv,readPair,Likely Human,No computer-generated patterns detected,1 | 2 | 1,Likely human-annotated,Human-readable format
nf_12.csv,readStrandOrigin,Likely Human,No computer-generated patterns detected,reverse | reverse | reverse,Likely human-annotated,Human-readable format
nf_12.csv,sex,Likely Human,No computer-generated patterns detected,Male | Male | Female,Likely human-annotated,Human-readable format
nf_12.csv,species,Likely Human,No computer-generated patterns detected,Homo sapiens | Homo sapiens | Homo sapiens,Likely human-annotated,Human-readable format
nf_12.csv,specimenPreparationMethod,Likely Human,No computer-generated patterns detected,Fresh collected | Fresh collected | Fresh collected,Likely human-annotated,Human-readable format
nf_12.csv,studyName,Likely Human,No computer-generated patterns detected,Development of Plexiform Neurofibroma Cellular Assay for High-Throughput Screening | Development of Plexiform Neurofibroma Cellular Assay for High-Throughput Screening | Development of Plexiform Neurofibroma Cellular Assay for High-Throughput Screening,Likely human-annotated,Human-readable format
nf_12.csv,tissue,Likely Human,No computer-generated patterns detected,nerve tissue | nerve tissue | nerve tissue,Likely human-annotated,Human-readable format
nf_13.csv,id,Computer Generated,Ends with ID,syn22103453 | syn22134002 | syn22134134,Ends with ID,Synapse ID format
nf_13.csv,resourceType,Computer Generated,Type field (often system-generated),experimentalData | experimentalData | experimentalData,Type field (often system-generated),Human-readable format
nf_13.csv,dataType,Computer Generated,Type field (often system-generated),genomicVariants | genomicVariants | genomicVariants,Type field (often system-generated),Human-readable format
nf_13.csv,dataSubtype,Computer Generated,Type field (often system-generated),raw | raw | raw,Type field (often system-generated),Human-readable format
nf_13.csv,individualID,Computer Generated,Ends with ID,swn_patient_3 | swn_patient_17 | swn_patient_17,Ends with ID,Human-readable format
nf_13.csv,specimenID,Computer Generated,Ends with ID,swn_patient_3_tumor_32 | swn_patient_17_blood | swn_patient_17_blood,Ends with ID,Human-readable format
nf_13.csv,cellType,Computer Generated,Type field (often system-generated),,Type field (often system-generated),No data available
nf_13.csv,fileFormat,Computer Generated,File format field,fastq | fastq | fastq,File format field,Human-readable format
nf_13.csv,readLength,Computer Generated,Length field,150 | 150 | 150,Length field,Human-readable format
nf_13.csv,readPairOrientation,Computer Generated,Created/Modified on field,,Created/Modified on field,No data available
nf_13.csv,runType,Computer Generated,Type field (often system-generated),pairedEnd | pairedEnd | pairedEnd,Type field (often system-generated),Human-readable format
nf_13.csv,nf1Genotype,Computer Generated,Type field (often system-generated),Unknown | Unknown | Unknown,Type field (often system-generated),Human-readable format
nf_13.csv,nf2Genotype,Computer Generated,Type field (often system-generated),Unknown | Unknown | Unknown,Type field (often system-generated),Human-readable format
nf_13.csv,studyId,Computer Generated,Ends with ID,syn9727752 | syn9727752 | syn9727752,Ends with ID,Synapse ID format
nf_13.csv,parentId,Computer Generated,Ends with ID,syn21960820 | syn21960820 | syn21960820,Ends with ID,Synapse ID format
nf_13.csv,accessType,Computer Generated,Type field (often system-generated),,Type field (often system-generated),No data available
nf_13.csv,tumorType,Computer Generated,Type field (often system-generated),,Type field (often system-generated),No data available
nf_13.csv,currentVersion,Computer Generated,Created/Modified on field,4 | 8 | 8,Created/Modified on field,Human-readable format
nf_13.csv,createdOn,Computer Generated,Creation metadata,1590698253764 | 1591472948026 | 1591475657213,Creation metadata,Long numeric ID
nf_13.csv,description,Computer Generated,Created/Modified on field,,Created/Modified on field,No data available
nf_13.csv,createdBy,Computer Generated,Creation metadata,3342573 | 3342573 | 3342573,Creation metadata,Human-readable format
nf_13.csv,etag,Computer Generated,Contains etag,eadff4ea-bea8-4b03-9a4b-1693f3c47f3f | 8cb594cb-bbab-4481-852a-68c84e8c883f | da5a21dd-8691-4d66-9db8-672e46cfa8be,Contains etag,UUID format
nf_13.csv,modifiedOn,Computer Generated,Modification metadata,1732207187713 | 1732207187633 | 1732207187734,Modification metadata,Long numeric ID
nf_13.csv,modifiedBy,Computer Generated,Modification metadata,3342573 | 3342573 | 3342573,Modification metadata,Human-readable format
nf_13.csv,path,Computer Generated,File path field,Synodos Schwannomatosis/Data/Whole genome sequencing/swn_patient_3_tumor_32_S3_L006_R2_001.fastq.gz | Synodos Schwannomatosis/Data/Whole genome sequencing/swn_patient_17_blood_S5_L006_R1_001.fastq.gz | Synodos Schwannomatosis/Data/Whole genome sequencing/swn_patient_17_blood_S5_L006_R2_001.fastq.gz,File path field,File path format
nf_13.csv,type,Computer Generated,Type field (often system-generated),file | file | file,Type field (often system-generated),Human-readable format
nf_13.csv,benefactorId,Computer Generated,Ends with ID,syn9727752 | syn9727752 | syn9727752,Ends with ID,Synapse ID format
nf_13.csv,projectId,Computer Generated,Ends with ID,syn9727752 | syn9727752 | syn9727752,Ends with ID,Synapse ID format
nf_13.csv,dataFileHandleId,Computer Generated,Ends with ID,66694547 | 66694562 | 66694574,Ends with ID,File handle ID
nf_13.csv,dataFileName,Computer Generated,Filename field,swn_patient_3_tumor_32_S3_L006_R2_001.fastq.gz | swn_patient_17_blood_S5_L006_R1_001.fastq.gz | swn_patient_17_blood_S5_L006_R2_001.fastq.gz,Filename field,Human-readable format
nf_13.csv,dataFileSizeBytes,Computer Generated,File size field,50987071394 | 48250289666 | 50187982436,File size field,Long numeric ID
nf_13.csv,dataFileMD5Hex,Computer Generated,Contains MD5,791c57c15b2ba9016276decb668c670c | 530b88ff08b30aead02be154a3676778 | 38dc43d3c4d0d705af2b6746ffafab80,Contains MD5,Hash-like hex string
nf_13.csv,dataFileConcreteType,Computer Generated,Concrete type field,org.sagebionetworks.repo.model.file.S3FileHandle | org.sagebionetworks.repo.model.file.S3FileHandle | org.sagebionetworks.repo.model.file.S3FileHandle,Concrete type field,Consistent alphanumeric format
nf_13.csv,dataFileBucket,Computer Generated,Storage bucket field,proddata.sagebase.org | proddata.sagebase.org | proddata.sagebase.org,Storage bucket field,Human-readable format
nf_13.csv,dataFileKey,Computer Generated,Ends with Key,3342573/2891dd0d-d992-4884-b064-182d58e324a0/T714_S3_L006_R2_001.fastq.gz | 3342573/66282581-3d39-40f5-ac6c-67f7e75747be/1_q356MA_S5_L006_R1_001.fastq.gz | 3342573/80558942-3c0f-4b1f-ab2e-3839a741e162/1_q356MA_S5_L006_R2_001.fastq.gz,Ends with Key,File path format
nf_13.csv,name,Likely Human,No computer-generated patterns detected,swn_patient_3_tumor_32_S3_L006_R2_001.fastq.gz | swn_patient_17_blood_S5_L006_R1_001.fastq.gz | swn_patient_17_blood_S5_L006_R2_001.fastq.gz,Likely human-annotated,Human-readable format
nf_13.csv,assay,Likely Human,No computer-generated patterns detected,whole genome sequencing | whole genome sequencing | whole genome sequencing,Likely human-annotated,Human-readable format
nf_13.csv,isCellLine,Likely Human,No computer-generated patterns detected,,Likely human-annotated,No data available
nf_13.csv,diagnosis,Likely Human,No computer-generated patterns detected,Schwannomatosis | Schwannomatosis | Schwannomatosis,Likely human-annotated,Human-readable format
nf_13.csv,organ,Likely Human,No computer-generated patterns detected,nerves | blood | blood,Likely human-annotated,Human-readable format
nf_13.csv,platform,Likely Human,No computer-generated patterns detected,Illumina HiSeq X | Illumina HiSeq X | Illumina HiSeq X,Likely human-annotated,Human-readable format
nf_13.csv,sex,Likely Human,No computer-generated patterns detected,Male | Female | Female,Likely human-annotated,Human-readable format
nf_13.csv,species,Likely Human,No computer-generated patterns detected,Homo sapiens | Homo sapiens | Homo sapiens,Likely human-annotated,Human-readable format
nf_13.csv,tissue,Likely Human,No computer-generated patterns detected,primary tumor | blood | blood,Likely human-annotated,Human-readable format
nf_13.csv,consortium,Likely Human,No computer-generated patterns detected,,Likely human-annotated,No data available
nf_13.csv,fundingAgency,Likely Human,No computer-generated patterns detected,CTF | CTF | CTF,Likely human-annotated,Human-readable format
nf_13.csv,isStranded,Likely Human,No computer-generated patterns detected,,Likely human-annotated,No data available
nf_13.csv,libraryPrep,Likely Human,No computer-generated patterns detected,,Likely human-annotated,No data available
nf_13.csv,readStrandOrigin,Likely Human,No computer-generated patterns detected,,Likely human-annotated,No data available
nf_13.csv,isMultiIndividual,Likely Human,No computer-generated patterns detected,,Likely human-annotated,No data available
nf_13.csv,isMultiSpecimen,Likely Human,No computer-generated patterns detected,,Likely human-annotated,No data available
nf_13.csv,isPrimaryCell,Likely Human,No computer-generated patterns detected,,Likely human-annotated,No data available
nf_13.csv,studyName,Likely Human,No computer-generated patterns detected,Synodos Schwannomatosis | Synodos Schwannomatosis | Synodos Schwannomatosis,Likely human-annotated,Human-readable format
nf_13.csv,detailed_diagnosis,Likely Human,No computer-generated patterns detected,Familial Schwannomatosis | Familial Schwannomatosis | Familial Schwannomatosis,Likely human-annotated,Human-readable format
nf_13.csv,libraryPreparationMethod,Likely Human,No computer-generated patterns detected,TruSeq | TruSeq | TruSeq,Likely human-annotated,Human-readable format
nf_13.csv,readPair,Likely Human,No computer-generated patterns detected,2 | 1 | 2,Likely human-annotated,Human-readable format
nf_13.csv,nucleicAcidSource,Likely Human,No computer-generated patterns detected,bulk cell | bulk cell | bulk cell,Likely human-annotated,Human-readable format
nf_13.csv,bodyPart,Likely Human,No computer-generated patterns detected,,Likely human-annotated,No data available
nf_13.csv,dissociationMethod,Likely Human,No computer-generated patterns detected,none | none | none,Likely human-annotated,Human-readable format
nf_13.csv,individualIdSource,Likely Human,No computer-generated patterns detected,Sage Bionetworks | Sage Bionetworks | Sage Bionetworks,Likely human-annotated,Human-readable format
nf_13.csv,specimenIdSource,Likely Human,No computer-generated patterns detected,Sage Bionetworks | Sage Bionetworks | Sage Bionetworks,Likely human-annotated,Human-readable format
nf_13.csv,initiative,Likely Human,No computer-generated patterns detected,Synodos | Synodos | Synodos,Likely human-annotated,Human-readable format
nf_13.csv,pain,Likely Human,No computer-generated patterns detected,,Likely human-annotated,No data available
nf_14.csv,id,Computer Generated,Ends with ID,syn18838156 | syn18838198 | syn18838213,Ends with ID,Synapse ID format
nf_14.csv,resourceType,Computer Generated,Type field (often system-generated),experimentalData | experimentalData | experimentalData,Type field (often system-generated),Human-readable format
nf_14.csv,dataType,Computer Generated,Type field (often system-generated),genomicVariants | genomicVariants | genomicVariants,Type field (often system-generated),Human-readable format
nf_14.csv,dataSubtype,Computer Generated,Type field (often system-generated),raw | raw | raw,Type field (often system-generated),Human-readable format
nf_14.csv,individualID,Computer Generated,Ends with ID,swn_patient_19 | swn_patient_41 | swn_patient_8,Ends with ID,Human-readable format
nf_14.csv,specimenID,Computer Generated,Ends with ID,swn_patient_19_tumor_29 | swn_patient_41_blood | swn_patient_8_tumor_30,Ends with ID,Human-readable format
nf_14.csv,cellType,Computer Generated,Type field (often system-generated),schwannoma | schwannoma | schwannoma,Type field (often system-generated),Human-readable format
nf_14.csv,platform,Computer Generated,Consistent alphanumeric format,Illumina HiSeq 2500 | Illumina HiSeq 2500 | Illumina HiSeq 2500,Likely human-annotated,Consistent alphanumeric format
nf_14.csv,fileFormat,Computer Generated,File format field,fastq | fastq | fastq,File format field,Human-readable format
nf_14.csv,readLength,Computer Generated,Length field,125 | 125 | 125,Length field,Human-readable format
nf_14.csv,readPairOrientation,Computer Generated,Created/Modified on field,,Created/Modified on field,No data available
